aMSaBU	a/MSaBU/	aMSaBU/
praTamavayasin	praTama/vayasi/n	praTamavayasi/n
praTamavAsya	praTama/vAsya/	praTamavAsya^
praTamaSravas	praTama/Sravas	praTamaSra/vas
pradavya	pradavya/	pradavya^
pradAvya	pradAvya/	pradAvya^
praDanya	praDanya/	praDanya^
prapaTin	pra/paTi/n	prapaTi/n
prapaTya	pra/paTya/	prapaTya^
praBfti	pra/Bfti	praBf/ti,pra/Bfti
pravat	prava/t,pra/vat	prava/t
prozya	prozya/	prozya^
pravAhya	pravAhya/	pravAhya^
pravAyya	pravAyya/	pravAyya^
pravargya	pravargya/	pravargya^
pravyADa	pra/vyADa/	pravyADa/
praSastikft	pra/Sastikft	praSastikf/t
praSnavivAka	praSna/vivAka/	praSnavivAka/
prazwivAhin	pra/zwivAhin	prazwivAhi/n
prasava	prasava/,pra/sava	prasava/
prasTiti	pra/sTiti	prasTi/ti,pra/sTiti
prahAyya	prahAyya/	prahAyya^
praheya	pra/he/ya	prahe/ya
prahArya	prahArya/	prahA/rya
prAyAsa	prAyAsa/	prA/yAsa
prAvAhaReya	prA/vAhaReya	prAvAhaReya/
prAcInayogIputra	prAcI/nayogIpu/tra	prA/cInayogIpu/tra
prAcyasaptasama	prAcya/saptasama	prA/cyasaptasama
prARagraha	prARa/graha/	prARagraha/
prARada	prARa/da/	prARada/
prARadfh	prARa/dfh	prARadf/h
prARapata	prARa/pata	prARapata/
prARapA	prARa/pA/	prARapA/
prARaBft	prARa/Bf/t	prARaBf/t
prARamaya	prARa/ma/ya	prARama/ya
prASavya	prASavya/	prASavya^
prASitavya	prASitavya^	prASita/vya
prASitraharaRa	prASitra/ha/raRa	prASitraha/raRa
prASuzah	prASu/za/h	prASuza/h
prASnIputra	prA/SnIputra/	prA/SnIpu/tra
priyaDA	priya/DA/	priyaDA/
priyavAdin	priya/vAdi/n	priyavAdi/n
priyasa	priya/sa/	priyasa/
prozWapada	pro/zWapada/	prozWapada/
prozWapAda	pro/zWapAda	prozWapAda/
plASi	plASi/	plA/Si
Palagrahi	Pa/lagra/hi	Palagra/hi
Palgva	Palgva/	Palgva^
banDukzit	ba/nDukzi/t	banDukzi/t
banDutA	ba/nDu/tA	banDutA/
banDupfC	ba/nDupf/C	banDupf/C
banDura	ba/nDura	banDura/
baBruka	baBruka/,ba/Bruka/	baBruka/,ba/Bruka
barjahya	barjahya/	barjahya^
barhizya	barhizya/	barhizya^
bala	bala/	ba/la
balAkAkOSika	balA/kAkOSika/	balAkAkOSika/
balihAra	bali/hAra/	balihAra/
balihft	bali/hft	balihf/t
bahukulIna	bahu/kulIna	bahukulI/na
bahukfta	bahu/kfta	bahukfta/
bahugu	bahu/gu/	bahugu/
bahucArin	bahu/cAri/n	bahucAri/n
bahutiTa	bahu/tiTa	bahutiTa/
bahutrA	bahu/trA/	bahutrA/
bahudAna	bahu/dAna,bahu/dAna/	bahudAna/
bahudevatya	bahu/devatya	bahudevatya^
bahuDA	bahu/DA,bahuDA/	bahuDA/
bahuDmAta	bahu/DmAta/	bahuDmAta/
bahuparRa	bahu/parRa/	bahuparRa/
bahupAyya	bahu/pA/yya	bahupA/yya
bahuyAjin	bahu/yAjin	bahuyAji/n
bahurasa	bahu/rasa/	bahurasa/
bahurUpa	bahu/rUpa/	bahurUpa/
bahuvacana	bahu/vacana	bahuvacana/
bahuvAdin	bahu/vAdi/n	bahuvAdi/n
bahuvid	bahu/vi/d	bahuvi/d
bahuSas	bahu/Sas,bahuSa/s	bahuSa/s
bahuSAKa	bahu/SAKa	bahuSAKa/
bahusAra	bahu/sAra/	bahusAra/
bahuhastika	bahu/hasti/ka	bahuhasti/ka
bahuhiraRya	bahu/hiraRya/	bahuhiraRya/
bAQasftvan	bAQa/sf/tvan	bAQasf/tvan
bAlya	bA/lya	bAlya/
bAhava	bAha/va	bAha/va,bAhava/
bAhukzad	bAhu/kza/d	bAhukza/d
bAhucyut	bAhu/cyu/t	bAhucyu/t
bAhutA	bAhu/tA/	bAhu/tA
bAhubalin	bAhu/bali/n	bAhubali/n
bAhumAtra	bAhu/mAtra/	bAhumAtra/
bAhuvIrya	bAhu/vIrya/	bAhuvIrya^
bAhuvfkta	bAhu/vfkta/	bAhuvfkta/
bAhuSarDin	bAhu/SarDi/n	bAhuSarDi/n
bAhvojas	bAhvo/jas	bAhvo^jas
bilaDAvana	bi/laDA/vana	bilaDA/vana
bilva	bilva/	bilva^
bisaKA	bi/saKA/	bisaKA/
buDnya	buDnya/	buDnya^
bfhajjAla	bfha/jjAla/	bfhajjAla/
bfhadukz	bfha/du/kz	bfhadu/kz
bfhaddivA	bfha/ddivA/	bfhaddivA/
bfhadraTa	bfha/draTa/	bfhadraTa/
bfhaspatisava	bf/haspa/tisava/	bfhaspatisava/
bElvamaya	bElva/maya	bElvama/ya
brahman	bra/hman	bra/hman,brahma/n
brahmajUta	brahmajU/ta	bra/hmajUta
brahmaRya	brahmaRya/	brahmaRya^
brahmaRvat	bra/hmaRvat,brahmaRva/t	brahmaRva/t
brAhmakfteya	brAhma/kfteya	brAhmakfteya/
brAhmaguptIya	brAhma/guptIya	brAhmaguptI/ya
brAhmadattAyana	brAhma/dattAyana	brAhmadattAyana/
brAhmaRajAta	brA/hmaRajAta/	brAhmaRajAta/
brAhmaRatrA	brA/hmaRatrA	brAhmaRatrA/
brAhmaRayajYa	brA/hmaRayajYa/	brAhmaRayajYa/
brAhmaRavarcasa	brA/hmaRavarcasa/	brAhmaRavarcasa/
brAhmaRAcCaMsya	brAhmaRAcCaMsya/	brAhmaRAcCaMsya^
BaktakaMsa	Bakta/kaMsa	Ba/ktakaMsa
Bagevita	Ba/ge'vita	Ba/gevita
Badrakft	Badra/kf/t	Badrakf/t
BadrapAda	Badra/pAda	BadrapAda/
BadramuKa	Badra/muKa	BadramuKa/
BadravAcya	Badra/vA/cya	BadravAcya^
BadravAdin	Badra/vAdi/n	BadravAdi/n
BadraSrut	Badra/Sru/t	BadraSru/t
Badrasena	Badra/sena/	Badrasena/
BayabrAhmaRa	Baya/brAhmaRa	Ba/yabrAhmaRa
Bartavya	Bartavya^	Ba/rtavya
Bavitavya	Bavitavya^	Bavita/vya
Basadya	Basadya/	Basadya^
BAmin	BAmi/n	BA/min
BAga	BAga/	BA/ga,BAga/
BAgadA	BAga/dA/	BAgadA/
BAgaduGa	BAga/duGa/	BAgaduGa/
BAgaDa	BAga/Da/	BAgaDa/
BAgaDeya	BAga/De/ya	BAgaDe/ya
BAraBArin	BAra/BArin	BAraBAri/n
BAraBft	BAra/Bf/t	BAraBf/t
BArya	BArya/	BArya^
BikzAmARava	BikzA/mARava	Bi/kzAmARava
BikzAvAsas	BikzA/vAsas	Bi/kzAvAsas
Bikzitavya	Bikzitavya^	Bikzita/vya
Bujizya	Bujizya/	Bujizya^
Buvanacyava	Bu/vanacyava/	Buvanacyava/
Buvanasad	Bu/vanasa/d	Buvanasa/d
BUtakft	BUta/kf/t	BUtakf/t
BUtapati	BUta/pa/ti	BUtapa/ti
BUtayajYa	BUta/yajYa	BUtayajYa/
BUtavid	BUta/vi/d	BUtavi/d
BUtasaMkrAmin	BUta/saMkrAmi/n	BUtasaMkrAmi/n
BUtasADana	BUta/sA/Dana	BUtasA/Dana
BUyaskft	BU/yaskft	BUyaskf/t
BUridA	BU/ridA/	BUridA/
BUridAvan	BU/ridA/van	BUridA/van
BUripozin	BU/ripozi/n	BUripozi/n
BUriSas	BU/riSas	BUriSa/s
BUrizah	BU/riza/h	BUriza/h
Bfmi	Bfmi/	Bf/mi,Bfmi/
Bezajya	Bezajya/	Bezajya^
Boga	Boga/	Boga/,Bo/ga
BojakawIya	Boja/kawIya	BojakawI/ya
BOvAyana	BOvAyana/	BOvA/yana
BrAjasvin	BrA/jasvin	BrAjasvi/n
BrAtftva	BrA/tftva/	BrAtftva/
BrAtfvala	BrA/tfvala	BrAtfvala/
BrAtfvyakzayaRa	BrA/tfvyakza/yaRa	BrAtfvyakza/yaRa
BrAtfvyaGnI	BrA/tfvyaGnI/	BrAtfvyaGnI/
BrAtfvyacAtana	BrA/tfvyacA/tana	BrAtfvyacA/tana
BrAtfvyahan	BrA/tfvyaha/n	BrAtfvyaha/n
BrURahatyA	BrURa/hatyA/	BrURahatyA/
BrURahan	BrURa/han	BrURaha/n
makara	ma/kara	maka/ra
maKahan	maKa/ha/n	maKaha/n
maGadeya	maGa/de/ya	maGade/ya
maGavattva	maGa/vattva/	maGavattva/
maRikAra	maRi/kAra/	maRikAra/
maRigrIva	maRi/grIva/	maRigrIva/
maRivAla	maRi/vA/la	maRivA/la
maRqUkasarasa	maRqU/kasarasa	maRqUkasarasa/
matya	matya/	matya^
matsyahan	ma/tsyaha/n	matsyaha/n
maTavya	maTavya/	maTavya^
madacyut	ma/dacyu/t	madacyu/t
maDavya	maDavya/	maDavya^
maDukaSA	ma/DukaSA/	maDukaSA/
maDukulyA	ma/DukulyA/	maDukulyA/
maDukft	ma/Dukf/t	maDukf/t
maDugraha	ma/Dugraha/	maDugraha/
maDuduGa	ma/Dudu/Ga	maDudu/Ga
maDudoGa	ma/DudoGa/	maDudoGa/
maDuDA	ma/DuDA/	maDuDA/
maDupa	ma/Dupa/	maDupa/
maDuparka	ma/Duparka/	maDuparka/
maDuparkya	ma/Duparkya	maDuparkya/
maDupU	ma/DupU/	maDupU/
maDupfc	ma/Dupf/c	maDupf/c
maDupeya	ma/Dupe/ya	maDupe/ya
maDumiSra	ma/DumiSra/	maDumiSra/
maDuvAhana	ma/DuvA/hana	maDuvA/hana
maDuvfD	ma/Duvf/D	maDuvf/D
maDuvfza	ma/Duvfza/	maDuvfza/
maDuScut	ma/DuScu/t	maDuScu/t
maDyA	ma/DyA,maDyA/	maDyA/
maDyatas	ma/Dyata/s	maDyata/s
maDyarAtra	ma/DyarAtra/	maDyarAtra/
maDyamavAh	maDyama/vA/h	maDyamavA/h
maDyamaSI	maDyama/SI	maDyamaSI/
maDyamasTA	maDyama/sTA/	maDyamasTA/
maDyamasTeya	maDyama/sTe/ya	maDyamasTe/ya
mativid	mati/vi/d	mativi/d
manasketa	ma/nasketa/	manasketa/
manasmaya	ma/nasma/ya	manasma/ya
manasvin	ma/nasvin	manasvi/n
manuvat	ma/nuva/t	manuva/t
manusava	ma/nusava/	manusava/
manuzya	manuzya/	manuzya^
manuzyakilbiza	manuzya/kilbiza/	manuzyakilbiza/
manuzyakfta	manuzya/kfta	manuzya^kfta
manuzyacara	manuzya/cara/	manuzyacara/
manuzyacCandasa	manuzya/cCandasa/	manuzyacCandasa/
manuzyajA	manuzya/jA/	manuzyajA/
manuzyatrA	manuzya/trA/	manuzyatrA/
manuzyatva	manuzya/tva/	manuzyatva/
manuzyadeva	manuzya/deva/	manuzyadeva/
manuzyayajYa	manuzya/yajYa/	manuzyayajYa/
manuzyaraTa	manuzya/raTa/	manuzyaraTa/
manuzyarAja	manuzya/rAja/	manuzyarAja/
manuzyaloka	manuzya/loka/	manuzyaloka/
manuzyasava	manuzya/sava/	manuzyasava/
manojava	manojava/,ma/nojava/	manojava/,ma/nojava
mantavya	mantavya^	manta/vya
mantrakft	ma/ntrakf/t	mantrakf/t
mantraSrutya	ma/ntraSru/tya	mantraSru/tya
manyumI	manyu/mI/	manyumI/
manyuSamana	manyu/Sa/mana	manyuSa/mana
manyuzAvin	manyu/zAvi/n	manyuzAvi/n
mamasatya	ma/masatya/	mamasatya/
mayaskara	ma/yaskara/	mayaskara/
marIcipa	ma/rIcipa/	marIcipa/
marutvatIya	maru/tvatI/ya	marutvatI/ya
marutvatya	maru/tvatya	marutvatya^
marutstoma	maru/tstoma/	marutstoma/
marka	marka/	marka/,ma/rka
martaBojana	ma/rtaBo/jana	martaBo/jana
martyatrA	ma/rtyatrA/	martyatrA/
martyatvana	ma/rtyatvana/	martyatvana/
maryatas	ma/ryatas	maryata/s
malaga	ma/laga/	malaga/
maSakajamBana	maSa/kaja/mBana	maSakaja/mBana
mahatkARqa	maha/tkARqa/	mahatkARqa/
mahas	ma/has	ma/has,maha/s
mahAkula	mahA/kula,mahA/kula/	mahAkula/
mahAkulIna	mahA/kulIna	mahAkulI/na
mahAgaRa	mahA/gaRa/	mahAgaRa/
mahAgaya	mahA/gaya/	mahAgaya/
mahAgrAma	mahA/grAma/	mahAgrAma/
mahAja	mahA/ja/,mahA/ja	mahAja/
mahAjanIya	mahA/janIya	mahAjanI/ya
mahAjAtIya	mahA/jAtIya	mahAjAtI/ya
mahADana	mahA/Dana/	mahADana/
mahADura	mahA/Dura	mahADura/
mahAnagna	mahA/nagna/	mahAnagna/
mahAnAga	mahA/nAga/	mahAnAga/
mahApada	mahA/pada/	mahApada/
mahAbrahma	mahA/brahma	mahAbrahma/
mahAbrAhmaRa	mahA/brAhmaRa/	mahAbrAhmaRa/
mahAmatsya	mahA/matsya/	mahAmatsya/
mahAmaha	mahA/maha,mahA/maha/	mahAmaha/
mahAyajYa	mahA/yajYa/	mahAyajYa/
mahAyama	mahA/yama/	mahAyama/
mahArAja	mahA/rAja/	mahArAja/
mahAvIra	mahA/vIra/	mahAvIra/
mahAvfkza	mahA/vfkza/	mahAvfkza/
mahAvfza	mahA/vfza/	mahAvfza/
mahAvrata	mahA/vrata/	mahAvrata/
mahAvratIya	mahA/vratI/ya	mahAvratI/ya
mahAsattra	mahA/sattra/	mahAsattra/
mahAsuparRa	mahA/suparRa/	mahAsuparRa/
mahAsuhaya	mahA/suhaya/	mahAsuhaya/
mahAhavis	mahA/havi/s	mahAhavi/s
mahAhastin	mahA/hasti/n	mahAhasti/n
mahokza	mahokza/,maho/kza	mahokza/
mahi	ma/hi	mahi/,ma/hi
mahivfD	ma/hivf/D	mahivf/D
mahiman	ma/hima/n	mahima/n
mAMScatva	mAMScatva/	mAMScatva/,mA/MScatva
mAMsaBikzA	mAMsa/BikzA/	mAMsaBikzA/
mAtfbanDu	mAtf/banDu	mAtfbanDu/
mAtfBogIRa	mAtf/BogIRa	mAtfBogI/Ra
mAtfzvaseya	mAtf/zvaseya	mAtfzvaseya/
mAtfzvasrIya	mAtf/zvasrIya	mAtfzvasrIya/
mADyaMdina	mADya/Mdina	mA/DyaMdina
mAna	mA/na	mA/na,mAna/
mAyAvin	mAyA/vi/n	mAyAvi/n
mArjAlya	mArjAlya/	mArjAlya^
mAsaSas	mA/saSa/s	mAsaSa/s
mAhArajana	mAhArajana/	mA/hArajana
mitrakru	mitra/kru/	mitrakru/
mitratUrya	mitra/tU/rya	mitratU/rya
mitratva	mitra/tva	mitratva/
mitraDA	mitra/DA/	mitraDA/
mitraDeya	mitra/De/ya	mitraDe/ya
mitrayuj	mitra/yu/j	mitrayu/j
mitravarDana	mitra/va/rDana	mitrava/rDana
mitrya	mitrya/	mitrya^
miTastur	miTa/stu/r	miTastu/r
miTunatva	miTuna/tva/	miTunatva/
miTUdfS	mi/TUdf/S	miTUdf/S
miTyAkarman	miTyA/ka/rman	miTyAka/rman
muYjanejana	mu/Yjane/jana	muYjane/jana
muzwihatyA	muzwi/hatyA/	muzwihatyA/
muzwihan	muzwi/ha/n	muzwiha/n
muhurgir	mu/hurgi/r	muhurgi/r
mUlakft	mU/lakf/t	mUlakf/t
mUlatas	mU/lata/s	mUlata/s
mUlabarhaRa	mU/laba/rhaRa	mUlaba/rhaRa
mftyupASa	mftyu/pASa/	mftyupASa/
mftyubanDu	mftyu/ba/nDu	mftyu/banDu
mfgaSIrza	mfga/SIrza/	mfgaSIrza/
mfgasakTa	mfga/sakTa	mfgasakTa/
mfgayA	mf/gayA	mfgayA/
mfdujAtIya	mfdu/jAtIya	mfdujAtI/ya
meTizWa	meTi/zWa	meTizWa/
meDA	me/DA,meDA/	meDA/
meDapati	me/Dapati	meDa/pati
meDasAti	me/DasAti	meDa/sAti
meDAkAra	meDA/kAra/	meDAkAra/
meDAtiTi	meDA/tiTi	me/DAtiTi
meDAvin	meDA/vi/n	meDAvi/n
meDyatva	me/Dyatva/	meDyatva/
mehanA	me/hanA,meha/nA	meha/nA
mEtravarDaka	mEtra/varDaka	mE/travarDaka
yakzadfS	yakza/df/S	yakzadf/S
yakzaBft	yakza/Bf/t	yakzaBf/t
yakzmanASana	ya/kzmanA/Sana	yakzmanA/Sana
yajamAna	ya/jamAna	ya/jamAna,yajamAna/
yajamAnabrAhmaRa	ya/jamAnabrAhmaRa/	yajamAnabrAhmaRa/
yajas	ya/jas	yaja^s
yajuzya	yajuzya/	yajuzya^
yajYakft	yajYa/kf/t	yajYakf/t
yajYakratu	yajYa/kratu/	yajYakratu/
yajYatanU	yajYa/tanU/	yajYatanU/
yajYanizkft	yajYa/nizkf/t	yajYanizkf/t
yajYanI	yajYa/nI/	yajYanI/
yajYapaTa	yajYa/paTa/	yajYapaTa/
yajYaparus	yajYa/paru/s	yajYaparu/s
yajYapAtra	yajYa/pAtra/	yajYapAtra/
yajYapAtrIya	yajYa/pAtrI/ya	yajYapAtrI/ya
yajYapucCa	yajYa/pucCa/	yajYapucCa/
yajYaprI	yajYa/prI/	yajYaprI/
yajYamuKa	yajYa/muKa/	yajYamuKa/
yajYayaSasa	yajYa/yaSasa	yajYayaSasa/
yajYavacas	yajYa/vacas	yajYavaca/s,yajYa/vacas
yajYavAstu	yajYa/vAstu/	yajYavAstu/
yajYavid	yajYa/vi/d	yajYavi/d
yajYaveSasa	yajYa/veSasa/	yajYaveSasa/
yajYaSrI	yajYa/SrI/	yajYaSrI/
yajYasAD	yajYa/sA/D	yajYasA/D
yajYasADana	yajYa/sA/Dana	yajYasA/Dana
yajYahan	yajYa/ha/n	yajYaha/n
yatrakAmam	ya/trakA/mam	yatrakA/mam
yaTAkarma	ya/TAkarma/	yaTAkarma/
yaTAkAmam	ya/TAkAmam	yaTAkAma/m
yaTAkArin	ya/TAkAri/n	yaTAkAri/n
yaTAKAtam	ya/TAKAta/m	yaTAKAta/m
yaTAgfhItam	ya/TAgfhIta/m	yaTAgfhIta/m
yaTANgam	ya/TANga/m	yaTANga/m
yaTAcamasam	ya/TAcamasa/m	yaTAcamasa/m
yaTAcArin	ya/TAcAri/n	yaTAcAri/n
yaTAjAtam	ya/TAjAta/m	yaTAjAta/m
yaTAdevatam	ya/TAdevata/m	yaTAdevata/m
yaTADarmam	ya/TADarma/m	yaTADarma/m
yaTADizRyam	ya/TADizRya/m	yaTADizRya/m
yaTAnAma	ya/TAnAma,ya/TAnAma/	yaTAnAma/
yaTAparu	ya/TAparu/	yaTAparu/
yaTApratirUpam	ya/TApratirUpa/m	yaTApratirUpa/m
yaTAbalam	ya/TAbala/m	yaTAbala/m
yaTABAgam	ya/TABAga/m	yaTABAga/m
yaTABijYAyam	ya/TABijYA/yam	yaTABijYA/yam
yaTAmuKIna	ya/TAmuKIna	yaTAmuKI/na
yaTAyajus	ya/TAyaju/s	yaTAyaju/s
yaTAyatanam	ya/TAyatana/m	yaTAyatana/m
yaTAyaTam	ya/TAyaTa/m	yaTAyaTa/m
yaTArTam	ya/TArTa/m,ya/TArTam	yaTArTa/m
yaTAlokam	ya/TAloka/m	yaTAloka/m
yaTAvakASam	ya/TAvakASa/m	yaTAvakASa/m
yaTAvaSam	ya/TAvaSa/m	yaTAvaSa/m
yaTASarIram	ya/TASarIra/m	yaTASarIra/m
yaTASradDam	ya/TASradDa/m	yaTASradDa/m
yaTASrezWam	ya/TASrezWa/m	yaTASrezWa/m
yaTAsTAnam	ya/TAsTAna/m	yaTAsTAna/m
yaTAsTAma	ya/TAsTAma/	yaTAsTAma/
yaTetam	yaT'eta/m	yaTeta/m
yatkAmyA	ya/tkAmyA/	yatkAmyA/
yataMkara	yata/Mkara/	yataMkara/
yamagATA	ya/magATA/	yamagATA/
yamatva	ya/matva/	yamatva/
yamadUta	ya/madUta/	yamadUta/
yamanakzatra	ya/manakzatra/	yamanakzatra/
yamanetra	ya/manetra	yama/netra
yamarAjan	ya/marAjan,yama/rAjan	yama/rAjan
yamarAjya	ya/marA/jya	yamarA/jya
yamaSrezWa	ya/maSrezWa	yama/SrezWa
yamasAdana	ya/masAdana/	yamasAdana/
yamasU	ya/masU/	yamasU/
yamunA	yamu/nA	yamu/nA/
yamya	yamya/	ya/mya/,yamya^
yavya	yavya/,ya/vya	ya/vya,yavya/
yavamaya	ya/vama/ya	yavama/ya
yavAgUmaya	yavAgU/maya	yavAgUma/ya
yavyA	ya/vyA/	yavyA/
yaSaskft	ya/Saskf/t	yaSaskf/t
yaSasvin	ya/Sasvi/n	yaSasvi/n
yaSasya	yaSasya/	yaSasya^
yahu	ya/hu	yahu/
yAtucAtana	yAtu/cA/tana	yAtucA/tana
yAtujamBana	yAtu/jamBana	yAtuja/mBana
yAtujU	yAtu/jU/	yAtujU/
yAtuDAna	yAtu/DA/na	yAtuDA/na
yAtuvid	yAtu/vi/d	yAtuvi/d
yAtuhan	yAtu/ha/n	yAtuha/n
yAma	yA/ma,yAma/	yAma/,yA/ma
yAmakoSa	yA/makoSa/	yAmakoSa/
yAvatsabanDu	yA/vatsa/banDu	yAvatsa/banDu
yugapad	yuga/pad	yu/gapad
yugamAtra	yuga/mAtra,yuga/mAtra/	yugamAtra/
yoktavya	yoktavya^	yoktavya/
yuvadrik	yuva/dri/k	yuvadri/k
yuvaddevatya	yuvaddevatya/	yuvaddeva/tya
yuvat	yu/vat	yuva/t
yUTya	yUTya/	yUTya^
yUpavAha	yU/pavAha/	yUpavAha/
yUpavraska	yU/pavraska/	yUpavraska/
yogakzema	yo/gakzema/	yogakzema/
rakzas	ra/kzas	ra/kzas,rakza/s
rakzastva	ra/kzastva/	rakzastva/
rakzasvin	ra/kzasvi/n	rakzasvi/n
rakzasya	rakzasya/	rakzasya^
raGuja	raGu/ja/	raGuja/
raGudru	raGu/dru/	raGudru/
raGupatmajaMhas	raGu/pa/tmajaMhas	raGupa/tmajaMhas
raGupatvan	raGu/pa/tvan	raGupa/tvan
raGuyAman	raGu/yA/man	raGuyA/man
raGuzyad	raGu/zya/d	raGuzya/d
raji	raji/,ra/ji	raji/
rajjusarja	ra/jjusarja/	rajjusarja/
rajjavya	rajjavya/	rajjavya^
rajatapAtra	rajata/pAtra/	rajatapAtra/
rajastur	ra/jastu/r	rajastu/r
rajasvala	ra/jasvala	rajasvala/
rajasya	rajasya/	rajasya^
raRakft	ra/Rakf/t	raRakf/t
raRya	ra/Rya	ra/Rya,raRya^
raRyajit	ra/Ryaji/t	raRyaji/t
raRyavAc	ra/RyavA/c	raRyavA/c
ratnaDA	ra/tnaDA/	ratnaDA/
ratnaDeya	ra/tnaDe/ya	ratnaDe/ya
ratnaBAj	ra/tnaBA/j	ratnaBA/j
raTI	ra/TI,raTI/	raTI/
raTakawyA	ra/TakawyA	raTakawyA/
raTakAra	ra/TakAra/	raTakAra/
raTakrIta	ra/TakrIta/	raTakrIta/
raTagftsa	ra/Tagftsa/	raTagftsa/
raTacakra	ra/Tacakra/	raTacakra/
raTacarzaRa	ra/Taca/rzaRa	raTaca/rzaRa
raTajit	ra/Taji/t,raTaji/t	raTaji/t
raTanABi	ra/TanABi/	raTanABi/
raTaMtara	ra/TaMtara/	raTaMtara/
raTaprA	ra/TaprA/	raTaprA/
raTamuKa	ra/TamuKa/	raTamuKa/
raTayAna	ra/TayA/na	raTayA/na
raTayAvan	ra/TayA/van	raTayA/van
raTayuj	ra/Tayu/j	raTayu/j
raTavartman	ra/Tavartman	raTavartma/n
raTavAha	ra/TavAha/	raTavAha/
raTaSIrza	ra/TaSIrza	raTaSIrza/
raTaSreRi	ra/TaSreRi/	raTaSreRi/
raTasaNga	ra/TasaNga/	raTasaNga/
raTaspfS	ra/Taspf/S	raTaspf/S
raTasvana	ra/Tasvana	raTasvana/
raDracoda	raDra/coda/	raDracoda/
raDracodana	raDra/codana/	raDraco/dana
ranDi	ra/nDi	ranDi/
ramati	rama/ti,ra/ma/ti	rama/ti,ra/mati
ramya	ramya/	ramya^
rayida	rayi/da/	rayida/
rayipati	rayi/pa/ti	rayipa/ti
rayivid	rayi/vi/d	rayivi/d
rayivfD	rayi/vf/D	rayivf/D
rayizWA	rayi/zWA/	rayizWA/
rayisTAna	rayi/sTA/na	rayisTA/na
rasaGana	ra/saGana/	rasaGana/
rasantama	ra/santama/	rasantama/
rAtizAc	rAti/zA/c	rAtizA/c
rAjaka	rAjaka/	rAjaka/,rA/jaka
rAjan	rAja/n	rA/jan,rAja/n
rAjanya	rAjanya^,rAjanya/	rAjanya^
rAjanyabanDu	rAjanya/banDu	rAjanya^banDu
rAtriMdiva	rA/triMdiva	rAtriMdiva/
rAtrizAman	rA/trizAman	rAtrizAma/n
rATaMtarAyaRa	rA/TaMtarAyaRa	rATaMtarAyaRa/
rAmyA	rA/myA	rAmyA/
rAzwradA	rAzwra/dA/	rAzwradA/
rAzwradipsu	rAzwra/dipsu/	rAzwradipsu/
rAzwraBft	rAzwra/Bf/t	rAzwraBf/t
rAzwraBfti	rAzwra/Bf/ti	rAzwraBf/ti
rAzwraBftya	rAzwra/Bf/tya	rAzwraBf/tya
riktakumBa	rikta/kumBa/	riktakumBa/
riktaguru	rikta/guru	ri/ktaguru
ripravAha	ripra/vAha/	ripravAha/
rItyap	rItya/p	rItya^p
rukmapASa	rukma/pASa/	rukmapASa/
ruDira	ruDira/,ru/Dira/	ruDira/
rUpakft	rUpa/kf/t	rUpakf/t
rUpaDeya	rUpa/De/ya	rUpaDe/ya
retasvin	re/tasvi/n	retasvi/n
revatya	revatya/	revatya^
roganASana	ro/ganA/Sana	roganA/Sana
rocanasTA	rocana/sTA/	rocanasTA/
rodastva	ro/dastva/	rodastva/
rohiRItva	ro/hiRItva/	rohiRItva/
rOdra	rO/dra	rOdra/
lakzmaRya	lakzmaRya/	lakzmaRya^
lokakft	loka/kft	lokakf/t
lokakftnu	loka/kftnu/	lokakftnu/
lokajit	loka/ji/t	lokaji/t
lokapAla	loka/pAla/	lokapAla/
lokaBAj	loka/BA/j	lokaBA/j
lokamaya	loka/ma/ya	lokama/ya
lokasani	loka/sa/ni	lokasa/ni
lokaspft	loka/spf/t	lokaspf/t
lokya	lokya/	lokya^
lomaSasakTa	lomaSa/sakTa	lomaSasa/kTa
lohamaya	loha/ma/ya	lohama/ya
vaMSanartin	vaMSa/narti/n	vaMSanarti/n
vakzaRA	va/kza/RA,va/kzaRA	vakza/RA
vaktavya	vaktavya^	vakta/vya
vacasya	vacasya/	vacasya^,vacasya/
vajraBft	va/jraBft	vajraBf/t
vajravah	va/jrava/h	vajrava/h
vatsatara	vatsa/tara/	vatsatara/
vatsaprI	vatsa/prI/	vatsaprI/
vaDatra	vaDatra/,va/Datra	va/Datra
vaDrimatI	va/DrimatI/	vaDrimatI/
vaDUdarSa	vaDU/darSa/	vaDUdarSa/
vaDUpaTa	vaDU/paTa/	vaDUpaTa/
vanakrakza	va/nakrakza/	vanakrakza/
vanaMkaraRa	va/naMka/raRa	vanaMkara/Ra
vanaDiti	va/naDiti	vana/Diti
vanapa	va/napa/	vanapa/
vanaprakza	va/naprakza/	vanaprakza/
vanasad	va/nasa/d	vanasa/d
vanaspati	vanaspa/ti,va/naspa/ti	va/naspa/ti
vapuzya	vapuzya/	vapuzya^
vayaskft	va/yaskf/t	vayaskf/t
vayunaSas	vayu/naSa/s	vayunaSa/s
vayya	vayya/	vayya^
varasad	va/rasa/d	varasa/d
variman	varima/n	varima/n,va/riman
varivaskft	va/rivaskf/t	varivaskf/t
varuRaDrut	va/ruRaDru/t	varuRaDru/t
varuRapASa	va/ruRapASa/	varuRapASa/
varuRapraGAsa	va/ruRapraGAsa/	varuRapraGAsa/
varuRameni	va/ruRameni/	varuRameni/
varuRasava	va/ruRasava/	varuRasava/
varuRya	varuRya/	varuRya^
varUTya	varUTya/	varUTya^
