aMSaBU	a/MSaBU/	aMSaBU/
Agnizwomika	A/gnizwomika	A/gnizwomika,Agnizwomika/
ANgUzya	ANgUzya/	ANgUzya^
AcArya	AcArya/	AcArya^
AcAryaBogIna	AcArya/BogIna	A/cAryaBogIna
Ajikft	Aji/kf/t	Ajikf/t
Ajitur	Aji/tu/r	Ajitu/r
Ajyapa	A/jyapa/	Ajyapa/
Aqambara	Aqa/mbara	Aqamba/ra
AQyakulIna	AQya/kulIna	AQyakulI/na
AQyapadi	AQya/padi	AQyapadi/
Atapa	Atapa/	Atapa/,Ata/pa
Atapya	Atapya/	Atapya^
AtArya	AtArya^,AtArya/	AtArya^
AtiTya	AtiTya/	A/tiTya,AtiTya/
AtiTyarUpa	AtiTya/rUpa/	AtiTyarUpa/
Atura	A/tura	A/tura,Atura/
Atmanvin	Atma/nvi/n	Atmanvi/n
Adya	Adya/	Adya^,A/dya
Adityavani	Aditya/va/ni	Adityava/ni
ADvarika	A/Dvarika	ADvarika/
Ana	Ana/	Ana/,A/na
Apitva	Api/tva/	Apitva/
Apya	A/pya	A/pya,Apya/
AmapAtra	Ama/pAtra/	AmapAtra/
AmikzA	Ami/kzA	Ami/kzA,AmikzA/
Ayu	Ayu/	Ayu/,A/yu
Ayuzak	Ayu/za/k	Ayuza/k
Ayuzya	Ayuzya/	Ayuzya^
ArAttAt	ArA/ttAt	ArA^ttAt
Arkzya	Arkzya/	A/rkzya,Arkzya/
AryakumAra	A/ryakumAra	Arya^kumAra
AryabrAhmaRa	A/ryabrAhmaRa	Arya^brAhmaRa
ArzwizeRa	ArzwizeRa/	A/rzwizeRa
AlApa	A/lApa/	AlApa/
AlaBya	AlaBya^	AlaBya/
AlAwya	AlAwya/	AlAwya^
Avaya	Avaya/	Avaya/,A/vaya
AvirBAva	Avi/rBAva	AvirBAva/
Avya	Avya/	Avya^
ASitaMgavIna	A/SitaMgavIna	ASitaMgavI/na
ASA	ASA/,A/SA	A/SA,ASA/
ASApAla	A/SApAla/	ASApAla/
ASuga	ASu/ga/	ASuga/
ASuMga	ASu/Mga	ASuMga/
ASupatvan	ASu/pa/tvan	ASupa/tvan
ASuheman	ASu/heman	ASuhe/man
ASuhezas	ASu/hezas	ASuhe/zas
ASvapas	ASva/pas	ASva^pas
ASvaSva	ASva/Sva	ASva^Sva
ASvameDa	ASvameDa/	ASvame/Da
ASvina	A/Svina,ASvina/	ASvina/,A/Svina
AspAtra	AspA/tra	AspA/tra,A/spA/tra
Asanya	Asanya/	Asanya^
Asya	Asya/	Asya^
AstaraRa	Asta/raRa	Asta/raRa,AstaraRa/
AsrAvaBezaja	AsrAva/Bezaja/	AsrAvaBezaja/
Ahananya	Ahananya/	Ahananya^
AhArya	AhArya/	AhArya^
iwasUna	i/wasUna/	iwasUna/
iRqva	iRqva/	iRqva^
itarajana	i/tarajana/	itarajana/
iti	i/ti	i/ti,iti/
idAvatsara	idA/vatsara/	idAvatsara/
indraGoza	i/ndraGoza/	indraGoza/
indrajA	i/ndrajA	indrajA/
indrajAla	i/ndrajAla/	indrajAla/
indratanU	i/ndratanU/	indratanU/
indraturIya	i/ndraturIya/	indraturIya/
indraDanus	i/ndraDanu/s	indraDanu/s
indranakzatra	i/ndranakzatra/	indranakzatra/
indrapAtama	i/ndrapAtama	indrapA/tama
indrapAna	i/ndrapA/na	indrapA/na
indramAdana	i/ndramAdana	indramA/dana
indrayoga	i/ndrayoga/	indrayoga/
indraloka	i/ndraloka/	indraloka/
indravAh	i/ndravAh	indravA/h
indrasaMDA	i/ndrasaMDA/	indrasaMDA/
indrasenA	i/ndrasenA/,i/ndrasenA	indrasenA/
indrahava	i/ndrahava/	indrahava/
indrAsomIya	i/ndrAsomI/ya	indrAsomI/ya
iByA	i/ByA	iByA/
iyattaka	i/yattaka/	iyattaka/
iriRya	iriRya/	iriRya^
izavya	izavya/	izavya^
izitatvatA	izita/tva/tA	izitatva/tA
izukAra	i/zukAra/	izukAra/
izukft	i/zukf/t,izukf/t	izukf/t
izuDi	i/zuDi/	izuDi/
izuBft	i/zuBf/t	izuBf/t
izumAtra	i/zumAtra/	izumAtra/
ISAnakft	ISAnakf/t	ISAnakf^t
IzIkA	IzI/kA	I/zIkA
uktapratyukta	ukta/pratyukta/	uktapratyukta/
ukTaBft	ukTa/Bf/t	ukTaBf/t
ukTavarDana	ukTa/va/rDana	ukTava/rDana
ukTaSaMsin	ukTa/SaMsi/n	ukTaSaMsi/n
ukTaSas	ukTa/Sa/s	ukTaSa/s
ukTaSasa	ukTa/Sasa/	ukTaSasa/
ukTya	ukTya/	ukTya^
ukzaRyAyana	ukzaRyA/yana	ukzaRyA^yana
ukzatara	ukza/tara	ukzatara/
ukzavehat	ukza/veha/t	ukzaveha/t
uKacCid	uKa/cCi/d,uKacCi/d	uKacCi/d
ugrajit	ugra/ji/t	ugraji/t
ugraputra	ugra/putra	ugraputra/,ugra/putra
ucaTya	ucaTya/	ucaTya^
uccEstamAm	uccE/stamAm	uccEstamA/m
uttAnaSIvan	uttAna/SI/van	uttAnaSI/van
uttarA	u/ttarA	uttarA/
uttaram	u/ttaram	uttara/m
uttaratas	u/ttarata/s	uttarata/s
uttaradru	u/ttaradru/	uttaradru/
uttaraDurIRa	u/ttaraDurIRa	uttaraDurI/Ra
uttaravedi	u/ttaravedi/	uttaravedi/
uttarasakTa	u/ttarasakTa	uttarasakTa/
uttarahanu	u/ttarahanu/	uttarahanu/
uttarArDya	uttarArDya/	uttarArDya^
utsaDi	u/tsaDi/	utsaDi/
utsya	utsya/	utsya^
utsarga	utsarga/	utsa/rga
udakaBUma	udaka/BUma	udakaBUma/
udanya	udanya/	udanya^
udanyaja	udanya/ja/	udanyaja/
udaktas	u/dakta/s	udakta/s
udIcya	udIcya/	udIcya^
udaradAra	uda/radAra/	udaradAra/
udarya	udarya/	udarya^
udita	u/dita	udita/
uditahomin	u/ditahomi/n	uditahomi/n
udumbara	udumba/ra	udu/mbara
udumbala	udumba/la,udumbala/	udumbala/
udgrahaRa	udgra/haRa	u/dgra/haRa
uddAlakapuzpaBaYjikA	uddA/lakapuzpaBaYjikA	u/ddAlakapuzpaBaYjikA
unmattapralapita	u/nmattapralapita	unmattapralapita/
upajijYAsya	upajijYAsya/	upajijYAsya^
upadeSya	upadeSya/	upadeSya^
upapakzya	upapakzya/	upapakzya^
upasartavya	upasa/rtavya	upasarta/vya
upastuta	u/pastuta	u/pastuta,upastuta/
upasTa	upa/sTa,upasTa/	upa/sTa
upasTadaGna	upa/sTadaGna/	upasTadaGna/
upasTasad	upa/sTasa/d	upasTasa/d
upAkacakzas	u/pAkacakzas	upAka/cakzas
upAtaNkya	upAtaNkya/	upAtaNkya^
uBayaMkara	uBa/yaMkara/	uBayaMkara/
uBayadyus	uBa/yadyu/s	uBayadyu/s
umAkawa	u/mAkawa	umAkawa/
