viSAKA:952,3:ιαβγ
viMSati:953,2:ϝίκατιεἴκοσι
vic:958,2:εἴκω
vid:963,2:εἶδονἐϝιδονοἶδαϝοιδα
viDavA:967,2:ἠίθεος
vipASA:974,3:*῞υφασιςΒίπασις
viS:989,1:οἶκος
viS:989,2:κατ᾽ἐξοχήν
viza:995,2:ἰόςϝισος
vfkI:1008,1:λύκος
vetasa:1014,3:ἰτέα
veSi:1019,2:Φάσις
Sak:1044,1:ὄπιςἀοσσητήρ
SakasTAna:1045,3:Ζακαστήνη
Sakft:1046,3:σκώρσκατόςκόπρος
SaNKA:1047,3:κόγχη
Sata:1048,3:ἑ-κατόν
Satakratu:1049,1:ἑκατομβαῖος
Satagu:1049,1:ἑκατόμβη
SataBizaj:1049,3:λ
Satru:1051,1:κότοςκοτέω
Sad:1051,2:καδκεκάσμεθακεκασμένος
Sam:1053,3:κάμνω
SayA:1055,3:ὀρέσ-κοιος
SaraBA:1057,2:κίραφοςκόραφος
SaSIa:1060,1:κεκήν
SaSvat:1060,3:ἥπας
Siras:1072,2:κέραςκάρη
Siva:1074,1:Εὐμενίδες
SIk:1077,1:κηκίω
SI:1077,1:κεῖσθαικοίτη
Suz:1084,3:αὔωσαύσω
SUnya:1085,2:κενόςκενεόςκέννος
SUra:1086,1:κῦροςἄ-κυρος
So:1091,1:ἀκή
Srat:1095,3:καρδίακραδίη
Srad:1095,3:καρδίακραδίη
Sravas:1097,1:κλέοςκλεϝος
Sravas:1097,2:κρουνός
SravaRa:1097,2:αβγ
SrAta:1097,3:κρατοςἄ-κρατος
Sri:1098,1:κλίνωκλίνηκλῖμαξ
Sru:1100,3:κλύωκλῦθικλυτός
Sreyas:1102,2:κρείων
SunIb:1105,1:κύων
SvaSurI:1105,3:ἑκυρός
zawb:1108,1:ἕξ
zWiv:1111,1:πτύω
zWIv:1111,1:πτύω
sa:1111,2:ὁἡ
sa:1111,2:ἁἁπλοῦς
sac:1130,2:ἕπομαι
sat:1134,2:ὥνἐώνἐσων
satyam:1135,3:ἐτεός
satyaSravas:1136,3:*᾿ετεοκλῆς
sad:1138,2:ἴζωσίσδω
sadas:1138,3:ἕδος
sap:1148,1:σέβομαισέβας
saptan:1149,1:ἑπτά
saptamIa:1150,3:ἕβδομος
samam:1152,1:ἅμαὁμόςὁμαλός
sam:1152,1:σύν
sama:1152,1:ἁμόςἀμός
saraRyu:1182,1:*᾿εριννύς
sarmaa:1183,1:ὁρμή
sarajat:1183,2:ὀρεη-
sarpa:1184,1:ἑρπετόν
sarva:1185,1:ὅλοςὁλϝος
savya:1191,2:σκαιός
sah:1192,3:ἴσχωσι-σχωἔχωἔ-σχον
sahasrab:1195,2:χίλιοιχεσλοι
sAmi:1206,2:ἡμι-ἥμισυς
si:1212,3:ἱ-μάςἱ-μονία
sic:1214,1:ἰκμάς
sina:1217,1:ἁἅμεναι
siv:1218,1:κασσύωκατα-συω
sItya:1218,2:σῖτος
sIm:1218,3:μιννινπερ
su:1219,3:εὖ
sunitambinI:1226,2:καλλίπυγος
sunaPA:1227,1:συναφή
sundara:1227,1:ἀνδρόςἀνήρ
suBasad:1229,3:καλλίπυγος
sumna:1231,3:ὕμνος
suvAstu:1233,2:Σόαστος
suruNgA:1236,1:σύριγξ
suSroRi:1237,2:καλλίπυγος
sU:1240,1:ὗςσῦς
sf:1244,3:ὁρμήὁρμάωἅλμαἅλλομαι
sfp:1245,3:ἕρπω
skand:1256,1:σκάνδαλον
stan:1257,2:στένω
stamB:1258,1:στέμφυλονστέμβωστείβω
staB:1258,1:στέμφυλονστέμβωστείβω
starI:1258,3:στεῖροςστέριφος
stiG:1258,3:στείχω
stUpab:1260,1:στύπος
stF:1260,1:στορέννυμιστρώννυμι
stUp:1260,1:στύφωστυφελός
stf:1260,1:στορέννυμιστρώννυμι
stf:1260,2:ἀστήρ
sTal:1261,3:στέλλωστόλος
sTag:1261,3:στέγωστέγητέγος
sTA:1262,2:ἱ-στάναι
sTURA:1265,3:στήλη
sTUrin:1265,3:ταῦρος
snA:1266,3:νάωνᾶμα
snu:1267,3:νέωνεύσομαι
