ambukukkuwa : old:1 ['14487.1']  new:1 ['14488']
ambukUrma : old:1 ['14488']  new:1 ['14487.1']
ayAvan : old:1 ['14756']  new:1 ['14756']
ayogava : old:1 ['14809']  new:1 ['14809']
ayogU : old:1 ['14810']  new:1 ['14810']
araMgara : old:1 ['15033']  new:1 ['15033']
araMGuza : old:1 ['15034']  new:1 ['15034']
araRyAni : old:1 ['15125']  new:0 []
araRyAnI : old:1 ['15127']  new:0 []
arAli : old:1 ['15245.1']  new:1 ['15245.1']
aruj : old:1 ['15416']  new:1 ['15416']
arunDatIdarSananyAya : old:1 ['15486.1']  new:1 ['15487']
arunDatInATa : old:1 ['15487']  new:1 ['15486.1']
arkabanDu : old:1 ['15627.01']  new:1 ['15627.5']
arDAvaBeda : old:1 ['16296']  new:0 []
arDAvaBedaka : old:2 ['16297', '16298']  new:1 ['16295.1']
arpita : old:1 ['16345']  new:1 ['16345']
alagarda : old:1 ['16552']  new:1 ['16552']
aligarda : old:2 ['16714', '16739']  new:2 ['16714', '16739']
alpatA : old:1 ['16841']  new:0 []
alpatva : old:2 ['16842', '16843']  new:1 ['16840.1']
alpavittavat : old:1 ['16886.1']  new:1 ['16886.2']
avakleda : old:1 ['17050']  new:0 []
avakledana : old:2 ['17051', '17052']  new:1 ['17049.1']
avadraNga : old:1 ['17297.1']  new:1 ['17297.1']
avatta : old:1 ['17369']  new:1 ['17369']
avapfzWIBUta : old:1 ['17686.2']  new:1 ['17686.2']
avaSIta : old:2 ['18164', '18171']  new:2 ['18164', '18171']
avasA : old:1 ['18269']  new:1 ['18269']
avasarapAWaka : old:1 ['18297.1']  new:1 ['18298']
avasaravelAyAm : old:1 ['18298']  new:1 ['18297.1']
avikfzwa : old:1 ['18638.1']  new:1 ['18638.1']
avitadBAzaRa : old:1 ['18772.1']  new:1 ['18772.1']
azwANga : old:1 ['20254.1']  new:1 ['20254.1']
asacCAKA : old:1 ['20507']  new:1 ['20507']
asanika : old:1 ['20614.01']  new:1 ['20614.01']
asanmati : old:1 ['20650']  new:1 ['20650']
asahizRutA : old:1 ['20843']  new:0 []
asahizRutva : old:2 ['20844', '20845']  new:1 ['20842.1']
asutfp : old:1 ['21112']  new:1 ['21112']
asecanakadarSana : old:1 ['21185.1']  new:1 ['21186']
asecanIya : old:1 ['21186']  new:1 ['21185.1']
asTisaMnahana : old:1 ['21418.1']  new:1 ['21412.4']
aspandamAna : old:1 ['21527.1']  new:1 ['21527.1']
ahaScara : old:1 ['21790']  new:1 ['21790']
ahiMkfti : old:1 ['21893.2']  new:1 ['21893.2']
AkUta : old:1 ['22203']  new:1 ['22203']
Akraya : old:1 ['22337']  new:1 ['22337']
Akzveqita : old:1 ['22432.01']  new:1 ['22432.5']
AGAwa : old:1 ['22775']  new:1 ['22775']
AcCAdya : old:1 ['23000.01']  new:0 []
AcCAdayitvA : old:1 ['23000.11']  new:0 []
AjamIQa : old:1 ['23054']  new:0 []
AjamI|a : old:2 ['23055', '23056']  new:1 ['23053.1']
AjAneya : old:1 ['23107']  new:1 ['23107']
AjAyana : old:1 ['23108']  new:1 ['23108']
Atarda : old:1 ['23382']  new:1 ['23382']
AtA : old:1 ['23387']  new:1 ['23387']
AtAra : old:1 ['23390']  new:1 ['23390']
Atodin : old:1 ['23451']  new:1 ['23451']
Adipuruza : old:2 ['23847', '23848']  new:0 []
AdipUruza : old:2 ['23850', '23851']  new:0 []
AndIra : old:1 ['24714.2']  new:1 ['24714.2']
ABIraka : old:1 ['25321']  new:0 []
ABIrika : old:2 ['25322', '25323']  new:1 ['25320.1']
AmuktA : old:1 ['25555.1']  new:1 ['25555.1']
AmuktikA : old:1 ['25557.1']  new:1 ['25555.2']
Amuri : old:1 ['25562.1']  new:1 ['25562.1']
AmlikA : old:1 ['25692']  new:0 []
AmlIkA : old:1 ['25694']  new:0 []
Arakzaka : old:2 ['26042', '26043']  new:0 []
Arakzika : old:3 ['26044', '26045', '26046']  new:1 ['26041.1']
Arava : old:1 ['26097.2']  new:1 ['26097.2']
ArkAyaRa : old:1 ['26385']  new:0 []
ArkAyaRi : old:1 ['26387']  new:0 []
ArdratA : old:2 ['26481', '26482']  new:0 []
Ardratva : old:3 ['26483', '26484', '26485']  new:1 ['26480.3']
AlApanIya : old:1 ['26698']  new:0 []
AlApya : old:2 ['26699', '26700']  new:1 ['26697.1']
AvasaTya : old:3 ['27038.1', '27038.2', '27038.3']  new:0 []
AvasaTIya : old:4 ['27039', '27039.1', '27039.2', '27039.3']  new:1 ['27038.1']
AvIta : old:1 ['27169']  new:1 ['27169']
AScotana : old:1 ['27600']  new:0 []
AScyotana : old:2 ['27601', '27602']  new:1 ['27599.1']
ASramaviqambaka : old:1 ['27632.1']  new:1 ['27633']
ASramasad : old:1 ['27633']  new:1 ['27632.1']
ASramika : old:1 ['27638']  new:0 []
ASramin : old:2 ['27639', '27640']  new:1 ['27637.1']
ASvatTa : old:3 ['27747', '27748', '27749']  new:0 []
ASvatTi : old:3 ['27750', '27752', '27753']  new:1 ['27745.1']
ASvatTika : old:4 ['27755', '27757', '27758', '27759']  new:1 ['27745.2']
Ahita : old:1 ['28336']  new:1 ['28336']
ikzumAlavI : old:1 ['28594']  new:0 []
ikzumAlinI : old:2 ['28595', '28596']  new:1 ['28593.1']
iqaspade : old:1 ['28693']  new:1 ['28692.3']
iLA : old:1 ['28693.5']  new:1 ['28693.1']
iqA : old:14 ['28694', '28694.05', '28694.10', '28694.15', '28694.20', '28694.25', '28694.30', '28694.35', '28694.40', '28694.45', '28694.50', '28694.55', '28694.60', '28694.65']  new:1 ['28693']
itikaraRIya : old:1 ['28755']  new:0 []
itikartavya : old:2 ['28757', '28758']  new:1 ['28754.1']
itikArya : old:2 ['28760', '28761']  new:1 ['28754.2']
itikftya : old:2 ['28763', '28764']  new:1 ['28754.3']
itikartavyatA : old:1 ['28759']  new:1 ['28758']
itikartavyatAmUQa : old:1 ['28759.1']  new:1 ['28759']
indunandana : old:1 ['28887']  new:1 ['28887']
