k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
jihvA,jihvā,yes,no,yes,4,common(100-999),no
juNga,juṅga,yes,yes,yes,1,hapax(1),yes
jvalana,jvalana,no,no,yes,4,common(100-999),no
jvalinI,jvalinī,yes,yes,no,,,no
jvarANgI,jvarāṅgī,yes,yes,no,,,no
jvarANkuSa,jvarāṅkuśa,no,no,yes,2,rare(2-9),no
jvarAnta,jvarānta,no,yes,no,,,no
jvarAntaka,jvarāntaka,yes,no,yes,2,rare(2-9),no
jvarApahA,jvarāpahā,yes,yes,no,,,no
jvarAri,jvarāri,yes,yes,yes,2,rare(2-9),yes
jvaraGna,jvaraghna,yes,no,yes,1,hapax(1),no
jvarahantrI,jvarahantrī,yes,yes,yes,1,hapax(1),yes
jvarakzaya,jvarakṣaya,no,yes,no,,,no
jyOtsnI,jyautsnī,yes,no,yes,2,rare(2-9),no
jyezWAmalaka,jyeṣṭhāmalaka,yes,yes,no,,,no
jyezWabalA,jyeṣṭhabalā,yes,yes,yes,1,hapax(1),yes
jyotirlatA,jyotirlatā,yes,yes,yes,2,rare(2-9),yes
jyotis,jyotis,yes,no,yes,4,common(100-999),no
jyotizkA,jyotiṣkā,yes,yes,yes,2,rare(2-9),yes
jyotizka,jyotiṣka,yes,no,yes,3,uncommon(10-99),no
jyotsnI,jyotsnī,yes,no,yes,2,rare(2-9),no
kARqIra,kāṇḍīra,yes,no,yes,2,rare(2-9),no
kARqa,kāṇḍa,yes,no,yes,4,common(100-999),no
kARqaPala,kāṇḍaphala,yes,yes,no,,,no
kARqahIna,kāṇḍahīna,yes,yes,yes,2,rare(2-9),yes
kARqakARqaka,kāṇḍakāṇḍaka,yes,yes,no,,,no
kARqakAra,kāṇḍakāra,yes,no,no,,,no
kARqakIlaka,kāṇḍakīlaka,yes,yes,yes,1,hapax(1),yes
kARqakawu,kāṇḍakaṭu,yes,yes,no,,,no
kARqanIla,kāṇḍanīla,yes,yes,no,,,no
kARqapuNKA,kāṇḍapuṅkhā,yes,yes,yes,1,hapax(1),yes
kARqapuzpA,kāṇḍapuṣpā,no,no,no,,,no
kARqapuzpa,kāṇḍapuṣpa,yes,yes,no,,,no
kARqaruhA,kāṇḍaruhā,no,yes,yes,2,rare(2-9),no
kARqatikta,kāṇḍatikta,no,yes,yes,2,rare(2-9),no
kARqatiktaka,kāṇḍatiktaka,no,yes,yes,1,hapax(1),no
kARqekzu,kāṇḍekṣu,yes,yes,yes,3,uncommon(10-99),yes
