k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
supAkinI,supākinī,yes,yes,yes,1,hapax(1),yes
supArSva,supārśva,yes,no,yes,3,uncommon(10-99),no
supArSvaka,supārśvaka,no,no,yes,2,rare(2-9),no
supUraka,supūraka,no,no,yes,2,rare(2-9),no
supadmA,supadmā,yes,yes,no,,,no
suparRAKya,suparṇākhya,yes,yes,no,,,no
suparRa,suparṇa,yes,no,yes,4,common(100-999),no
suparRaka,suparṇaka,yes,no,yes,2,rare(2-9),no
suparRikA,suparṇikā,yes,no,yes,2,rare(2-9),no
supattrA,supattrā,yes,no,yes,2,rare(2-9),no
supattra,supattra,yes,no,yes,2,rare(2-9),no
supattraka,supattraka,yes,yes,yes,1,hapax(1),yes
supattrikA,supattrikā,yes,no,yes,2,rare(2-9),no
supiNgalA,supiṅgalā,yes,no,yes,2,rare(2-9),no
supraBA,suprabhā,yes,no,yes,3,uncommon(10-99),no
suprasArA,suprasārā,yes,yes,no,,,no
suprasannaka,suprasannaka,yes,no,yes,1,hapax(1),no
supratizWita,supratiṣṭhita,yes,no,yes,3,uncommon(10-99),no
suputra,suputra,yes,no,yes,2,rare(2-9),no
suputrikA,suputrikā,yes,yes,no,,,no
supuzkarA,supuṣkarā,no,yes,yes,1,hapax(1),no
supuzpA,supuṣpā,no,no,yes,2,rare(2-9),no
supuzpI,supuṣpī,yes,no,yes,2,rare(2-9),no
supuzpa,supuṣpa,yes,no,yes,3,uncommon(10-99),no
supuzpaka,supuṣpaka,yes,yes,yes,1,hapax(1),yes
supuzpikA,supuṣpikā,yes,yes,yes,2,rare(2-9),yes
surAhva,surāhva,no,no,yes,3,uncommon(10-99),no
surAhvaya,surāhvaya,no,no,yes,2,rare(2-9),no
surUpA,surūpā,yes,no,yes,2,rare(2-9),no
suraBIganDa,surabhīgandha,yes,yes,no,,,no
suraBUruha,surabhūruha,no,yes,yes,1,hapax(1),no
suraBi,surabhi,yes,no,yes,4,common(100-999),no
suraBidAru,surabhidāru,no,yes,no,,,no
suraBiganDA,surabhigandhā,yes,yes,yes,1,hapax(1),yes
suraBiganDa,surabhigandha,no,no,yes,1,hapax(1),no
suraBikA,surabhikā,yes,yes,no,,,no
suraBipattrA,surabhipattrā,no,no,yes,1,hapax(1),no
suraBitriPalA,surabhitriphalā,yes,yes,yes,1,hapax(1),yes
suraBivalkala,surabhivalkala,yes,yes,no,,,no
suraDUpa,suradhūpa,yes,no,yes,1,hapax(1),no
suraNgI,suraṅgī,yes,yes,yes,2,rare(2-9),yes
suraNgada,suraṅgada,yes,no,yes,1,hapax(1),no
suraNgikA,suraṅgikā,yes,yes,no,,,no
suradAru,suradāru,no,yes,yes,3,uncommon(10-99),no
suradArumaya,suradārumaya,no,yes,no,,,no
suradruma,suradruma,yes,no,yes,3,uncommon(10-99),no
surakAzWa,surakāṣṭha,no,yes,yes,2,rare(2-9),no
surakftA,surakṛtā,yes,yes,yes,1,hapax(1),yes
suraktaka,suraktaka,yes,no,yes,2,rare(2-9),no
suranAla,suranāla,yes,yes,yes,1,hapax(1),yes
suranirganDa,suranirgandha,yes,yes,no,,,no
suraparRikA,suraparṇikā,yes,yes,yes,1,hapax(1),yes
surapriyA,surapriyā,yes,no,yes,2,rare(2-9),no
surapriya,surapriya,yes,no,yes,1,hapax(1),no
surapuMnAga,surapuṃnāga,yes,yes,yes,1,hapax(1),yes
suraqA,suraḍā,no,yes,no,,,no
surasA,surasā,yes,no,yes,3,uncommon(10-99),no
surasa,surasa,yes,no,yes,3,uncommon(10-99),no
surasamBavA,surasambhavā,yes,yes,yes,1,hapax(1),yes
suratuNga,suratuṅga,yes,yes,yes,1,hapax(1),yes
suravallaBa,suravallabha,yes,yes,no,,,no
surendra,surendra,yes,no,yes,3,uncommon(10-99),no
surezwA,sureṣṭā,no,no,no,,,no
surezwa,sureṣṭa,yes,no,yes,2,rare(2-9),no
surezwaka,sureṣṭaka,yes,yes,yes,1,hapax(1),yes
suruNga,suruṅga,yes,yes,yes,1,hapax(1),yes
susAra,susāra,yes,no,yes,1,hapax(1),no
susUkzmapattrA,susūkṣmapattrā,yes,yes,no,,,no
susnA,susnā,yes,yes,no,,,no
sutA,sutā,yes,no,yes,4,common(100-999),no
sutIkzRa,sutīkṣṇa,yes,no,yes,3,uncommon(10-99),no
sutaSreRI,sutaśreṇī,yes,yes,yes,2,rare(2-9),yes
sutajIvaka,sutajīvaka,yes,yes,yes,1,hapax(1),yes
sutapAdikA,sutapādikā,yes,yes,no,,,no
sutaptA,sutaptā,yes,yes,no,,,no
sutejA,sutejā,yes,yes,yes,1,hapax(1),yes
sutejana,sutejana,yes,no,yes,2,rare(2-9),no
sutikta,sutikta,yes,no,yes,2,rare(2-9),no
sutiktaka,sutiktaka,yes,no,yes,2,rare(2-9),no
sutintiqA,sutintiḍā,yes,yes,no,,,no
suvAlukA,suvālukā,yes,yes,no,,,no
suvIraka,suvīraka,yes,yes,yes,1,hapax(1),yes
suvIryA,suvīryā,yes,no,yes,2,rare(2-9),no
suvaha,suvaha,yes,no,yes,1,hapax(1),no
suvalli,suvalli,yes,yes,yes,1,hapax(1),yes
suvallikA,suvallikā,yes,yes,yes,2,rare(2-9),yes
suvarRA,suvarṇā,yes,no,yes,2,rare(2-9),no
suvarRAKya,suvarṇākhya,yes,no,yes,1,hapax(1),no
suvarRAra,suvarṇāra,no,yes,yes,1,hapax(1),no
suvarRI,suvarṇī,yes,yes,no,,,no
suvarRa,suvarṇa,no,no,yes,5,very-common(1000+),no
suvarRaPalA,suvarṇaphalā,yes,yes,no,,,no
suvarRacampaka,suvarṇacampaka,no,yes,no,,,no
suvarRaka,suvarṇaka,no,no,yes,3,uncommon(10-99),no
suvarRalatA,suvarṇalatā,yes,yes,no,,,no
suvarRamocA,suvarṇamocā,yes,yes,yes,2,rare(2-9),yes
suvarRaprasara,suvarṇaprasara,yes,yes,no,,,no
suvarRaramBA,suvarṇarambhā,yes,yes,yes,1,hapax(1),yes
suvarcalA,suvarcalā,yes,no,yes,3,uncommon(10-99),no
suvartula,suvartula,yes,no,no,,,no
suvasantaka,suvasantaka,yes,no,yes,2,rare(2-9),no
suvegA,suvegā,no,no,yes,1,hapax(1),no
suzavI,suṣavī,no,no,yes,3,uncommon(10-99),no
suzeRI,suṣeṇī,yes,yes,yes,2,rare(2-9),yes
suzeRa,suṣeṇa,yes,no,yes,4,common(100-999),no
svAduganDA,svādugandhā,yes,yes,no,,,no
svAduganDa,svādugandha,yes,yes,no,,,no
svAdukA,svādukā,yes,yes,yes,1,hapax(1),yes
svAdukaRwa,svādukaṇṭa,yes,yes,yes,2,rare(2-9),yes
svAdukaRwaka,svādukaṇṭaka,no,no,yes,3,uncommon(10-99),no
svAdukandA,svādukandā,yes,yes,yes,2,rare(2-9),yes
svAdulatA,svādulatā,yes,yes,yes,1,hapax(1),yes
svAdumUla,svādumūla,yes,yes,yes,1,hapax(1),yes
svAdupAkA,svādupākā,yes,yes,yes,1,hapax(1),yes
svAdupuzpI,svādupuṣpī,yes,yes,no,,,no
svAdurasA,svādurasā,no,no,yes,2,rare(2-9),no
svAdutuRqikA,svādutuṇḍikā,yes,yes,no,,,no
svAyamBuvI,svāyambhuvī,yes,yes,yes,1,hapax(1),yes
svaBadrA,svabhadrā,yes,yes,yes,1,hapax(1),yes
svaDApriya,svadhāpriya,yes,no,no,,,no
svaguptA,svaguptā,yes,no,yes,2,rare(2-9),no
svalpaPalA,svalpaphalā,yes,yes,yes,1,hapax(1),yes
svalpakesarin,svalpakesarin,yes,yes,no,,,no
svalpapattraka,svalpapattraka,yes,yes,no,,,no
svapnakft,svapnakṛt,yes,no,no,,,no
svarRANga,svarṇāṅga,yes,yes,yes,1,hapax(1),yes
svarRa,svarṇa,no,no,yes,4,common(100-999),no
svarRaBUmikA,svarṇabhūmikā,yes,yes,no,,,no
svarRaBUzaRa,svarṇabhūṣaṇa,no,no,yes,2,rare(2-9),no
svarRaPalA,svarṇaphalā,yes,yes,yes,1,hapax(1),yes
svarRaSePAlikA,svarṇaśephālikā,no,yes,yes,1,hapax(1),no
svarRadA,svarṇadā,yes,yes,no,,,no
svarRadru,svarṇadru,yes,yes,yes,2,rare(2-9),yes
svarRadugDA,svarṇadugdhā,yes,yes,yes,2,rare(2-9),yes
svarRajIvantikA,svarṇajīvantikā,yes,yes,yes,2,rare(2-9),yes
svarRaketakI,svarṇaketakī,yes,yes,no,,,no
svarRakzIriRikA,svarṇakṣīriṇikā,yes,yes,no,,,no
svarRalatA,svarṇalatā,yes,yes,yes,2,rare(2-9),yes
svarRaparRI,svarṇaparṇī,yes,yes,yes,1,hapax(1),yes
svarRapuzpa,svarṇapuṣpa,yes,yes,yes,2,rare(2-9),yes
svarRavalkala,svarṇavalkala,yes,yes,no,,,no
svarRavarRaBAj,svarṇavarṇabhāj,yes,yes,no,,,no
svastika,svastika,yes,no,yes,3,uncommon(10-99),no
svayaMguptA,svayaṃguptā,no,yes,yes,3,uncommon(10-99),no
syandaka,syandaka,yes,yes,no,,,no
syandana,syandana,no,no,yes,4,common(100-999),no
syandanadruma,syandanadruma,yes,yes,no,,,no
syandani,syandani,yes,no,no,,,no
syonAka,syonāka,yes,yes,yes,2,rare(2-9),yes
tARqava,tāṇḍava,yes,no,yes,3,uncommon(10-99),no
tAlI,tālī,no,no,yes,3,uncommon(10-99),no
tAlISa,tālīśa,no,no,yes,3,uncommon(10-99),no
tAlISaka,tālīśaka,yes,yes,no,,,no
tAlISapattra,tālīśapattra,yes,yes,yes,2,rare(2-9),yes
tAla,tāla,no,no,yes,4,common(100-999),no
tAladruma,tāladruma,no,yes,yes,1,hapax(1),no
tAlamUlikA,tālamūlikā,no,yes,yes,2,rare(2-9),no
tAlaparRI,tālaparṇī,yes,no,yes,2,rare(2-9),no
tAlapattrI,tālapattrī,no,yes,yes,2,rare(2-9),no
tAlapattra,tālapattra,no,no,yes,2,rare(2-9),no
tAlavana,tālavana,no,no,no,,,no
tAli,tāli,yes,no,no,,,no
tAlikA,tālikā,yes,no,yes,1,hapax(1),no
tAmalakI,tāmalakī,no,yes,yes,3,uncommon(10-99),no
tAmarasa,tāmarasa,yes,no,yes,3,uncommon(10-99),no
tAmbUlI,tāmbūlī,no,yes,yes,3,uncommon(10-99),no
tAmbUlaja,tāmbūlaja,no,yes,no,,,no
tAmbUlapattra,tāmbūlapattra,yes,no,yes,2,rare(2-9),no
tAmbUlarAga,tāmbūlarāga,yes,yes,no,,,no
tAmrA,tāmrā,no,no,yes,3,uncommon(10-99),no
tAmraPala,tāmraphala,yes,yes,yes,2,rare(2-9),yes
tAmrabIja,tāmrabīja,yes,yes,yes,1,hapax(1),yes
tAmracUqa,tāmracūḍa,yes,no,yes,3,uncommon(10-99),no
tAmrakaRwaka,tāmrakaṇṭaka,no,yes,yes,1,hapax(1),no
tAmramUlA,tāmramūlā,no,yes,yes,2,rare(2-9),no
tAmrapAdI,tāmrapādī,yes,yes,no,,,no
tAmrapAkin,tāmrapākin,yes,yes,no,,,no
tAmrapallava,tāmrapallava,yes,yes,yes,2,rare(2-9),yes
tAmraparRI,tāmraparṇī,no,no,yes,3,uncommon(10-99),no
tAmrapattraka,tāmrapattraka,no,yes,no,,,no
tAmrapuzpI,tāmrapuṣpī,yes,yes,yes,2,rare(2-9),yes
tAmrapuzpa,tāmrapuṣpa,yes,no,yes,2,rare(2-9),no
tAmrapuzpaka,tāmrapuṣpaka,no,yes,no,,,no
tAmrapuzpikA,tāmrapuṣpikā,yes,yes,yes,2,rare(2-9),yes
tAmravallI,tāmravallī,no,no,yes,2,rare(2-9),no
tAmravarRI,tāmravarṇī,no,yes,no,,,no
tAmravfntA,tāmravṛntā,yes,yes,no,,,no
tAmrikA,tāmrikā,yes,no,yes,2,rare(2-9),no
tApasI,tāpasī,no,no,yes,3,uncommon(10-99),no
tApasa,tāpasa,yes,no,yes,4,common(100-999),no
tApasaja,tāpasaja,no,yes,no,,,no
tApasapattra,tāpasapattra,no,yes,yes,1,hapax(1),no
tApasapriya,tāpasapriya,yes,yes,yes,1,hapax(1),yes
tApasataru,tāpasataru,yes,yes,yes,2,rare(2-9),yes
tAqa,tāḍa,no,no,yes,2,rare(2-9),no
tAqi,tāḍi,yes,yes,no,,,no
tArAyaRa,tārāyaṇa,no,no,no,,,no
tAra,tāra,yes,no,yes,5,very-common(1000+),no
tArakA,tārakā,yes,no,yes,4,common(100-999),no
tArataRqula,tārataṇḍula,yes,yes,yes,1,hapax(1),yes
tArkzyaprasava,tārkṣyaprasava,yes,yes,yes,1,hapax(1),yes
tEjasI,taijasī,no,no,yes,1,hapax(1),no
tElAguru,tailāguru,yes,yes,no,,,no
tElIna,tailīna,no,yes,yes,2,rare(2-9),no
tElaPala,tailaphala,yes,yes,yes,2,rare(2-9),yes
tElabIja,tailabīja,yes,yes,yes,1,hapax(1),yes
tElapiYja,tailapiñja,no,yes,no,,,no
tElaspandA,tailaspandā,no,no,no,,,no
tElavallI,tailavallī,yes,yes,no,,,no
tEnduka,tainduka,no,yes,yes,2,rare(2-9),no
tIkzRA,tīkṣṇā,no,no,yes,2,rare(2-9),no
tIkzRAgra,tīkṣṇāgra,no,no,no,,,no
tIkzRa,tīkṣṇa,yes,no,yes,5,very-common(1000+),no
tIkzRaganDA,tīkṣṇagandhā,no,no,yes,2,rare(2-9),no
tIkzRaganDa,tīkṣṇagandha,yes,no,yes,2,rare(2-9),no
tIkzRaganDaka,tīkṣṇagandhaka,yes,yes,no,,,no
tIkzRaka,tīkṣṇaka,no,no,yes,3,uncommon(10-99),no
tIkzRakaRwa,tīkṣṇakaṇṭa,yes,yes,yes,2,rare(2-9),yes
tIkzRakaRwakA,tīkṣṇakaṇṭakā,yes,yes,yes,1,hapax(1),yes
tIkzRakaRwaka,tīkṣṇakaṇṭaka,yes,no,yes,2,rare(2-9),no
tIkzRamUla,tīkṣṇamūla,yes,no,yes,2,rare(2-9),no
tIkzRapattra,tīkṣṇapattra,no,no,yes,2,rare(2-9),no
tIkzRapuzpA,tīkṣṇapuṣpā,yes,no,yes,1,hapax(1),no
tIkzRasArA,tīkṣṇasārā,yes,yes,yes,1,hapax(1),yes
tIkzRasAra,tīkṣṇasāra,no,no,yes,2,rare(2-9),no
tIkzRatEla,tīkṣṇataila,yes,no,yes,1,hapax(1),no
tIrAwa,tīrāṭa,no,yes,no,,,no
tIrRapadI,tīrṇapadī,yes,yes,no,,,no
tIrTasevin,tīrthasevin,yes,yes,yes,1,hapax(1),yes
tIraRa,tīraṇa,no,yes,no,,,no
tIvrA,tīvrā,yes,no,yes,2,rare(2-9),no
tIvraganDA,tīvragandhā,yes,yes,yes,1,hapax(1),yes
tIvrajvAlA,tīvrajvālā,yes,yes,yes,1,hapax(1),yes
tIvrakaRWa,tīvrakaṇṭha,yes,yes,no,,,no
tUbara,tūbara,no,no,no,,,no
tUda,tūda,yes,no,yes,2,rare(2-9),no
tUlaPala,tūlaphala,yes,yes,yes,1,hapax(1),yes
taRqulIka,taṇḍulīka,yes,yes,no,,,no
taRqulOGa,taṇḍulaugha,yes,no,no,,,no
taRqulu,taṇḍulu,yes,yes,no,,,no
tagaraka,tagaraka,no,no,no,,,no
tagaravalli,tagaravalli,no,yes,no,,,no
takkola,takkola,no,yes,yes,2,rare(2-9),no
takraBid,takrabhid,no,yes,no,,,no
talAhvaya,talāhvaya,yes,yes,yes,1,hapax(1),yes
tala,tala,no,no,yes,5,very-common(1000+),no
tamA,tamā,yes,no,yes,2,rare(2-9),no
tamAlI,tamālī,yes,no,yes,2,rare(2-9),no
tamAla,tamāla,yes,no,yes,3,uncommon(10-99),no
tamAlaka,tamālaka,yes,no,yes,2,rare(2-9),no
tamAlapattra,tamālapattra,yes,no,yes,2,rare(2-9),no
tama,tama,yes,no,yes,3,uncommon(10-99),no
tamakA,tamakā,no,yes,no,,,no
tanUnapAt,tanūnapāt,no,no,yes,3,uncommon(10-99),no
tantrikA,tantrikā,no,no,yes,2,rare(2-9),no
tantuBa,tantubha,yes,no,yes,1,hapax(1),no
tantuniryAsa,tantuniryāsa,yes,yes,no,,,no
tanucCAya,tanucchāya,no,yes,yes,1,hapax(1),no
tanukA,tanukā,no,yes,no,,,no
tanuka,tanuka,no,no,yes,2,rare(2-9),no
tanukzIra,tanukṣīra,yes,yes,yes,2,rare(2-9),yes
tanupattra,tanupattra,no,no,no,,,no
tanutvac,tanutvac,no,no,yes,1,hapax(1),no
tanutvaca,tanutvaca,yes,yes,no,,,no
tanvI,tanvī,yes,no,yes,3,uncommon(10-99),no
tapanI,tapanī,no,no,yes,2,rare(2-9),no
tapana,tapana,yes,no,yes,4,common(100-999),no
tapasvIzwA,tapasvīṣṭā,no,yes,no,,,no
tapasvinI,tapasvinī,yes,no,yes,4,common(100-999),no
tapasvipattra,tapasvipattra,yes,yes,yes,1,hapax(1),yes
tapasya,tapasya,yes,no,yes,3,uncommon(10-99),no
tapoDanA,tapodhanā,yes,yes,yes,2,rare(2-9),yes
taqitvat,taḍitvat,no,no,yes,2,rare(2-9),no
taraRI,taraṇī,yes,no,yes,1,hapax(1),no
taraRIvallI,taraṇīvallī,yes,yes,no,,,no
taraRi,taraṇi,yes,no,yes,3,uncommon(10-99),no
taravawa,taravaṭa,yes,yes,yes,1,hapax(1),yes
tarkArI,tarkārī,no,no,yes,3,uncommon(10-99),no
tarkiRa,tarkiṇa,yes,yes,no,,,no
tarpiRI,tarpiṇī,yes,yes,no,,,no
taruBuj,tarubhuj,yes,yes,no,,,no
taruRI,taruṇī,yes,no,yes,3,uncommon(10-99),no
taruRIkawAkzakAma,taruṇīkaṭākṣakāma,yes,yes,yes,1,hapax(1),yes
taruRa,taruṇa,yes,no,yes,4,common(100-999),no
tarurAja,tarurāja,no,yes,yes,1,hapax(1),no
taruvallI,taruvallī,yes,no,yes,2,rare(2-9),no
taskarI,taskarī,no,no,yes,2,rare(2-9),no
taskara,taskara,yes,no,yes,4,common(100-999),no
taskarasnAyu,taskarasnāyu,yes,yes,yes,1,hapax(1),yes
tatapattrI,tatapattrī,yes,yes,no,,,no
tatpada,tatpada,no,no,yes,1,hapax(1),no
tavakzIrI,tavakṣīrī,no,yes,yes,3,uncommon(10-99),no
tavapriya,tavapriya,no,yes,no,,,no
tejAhvA,tejāhvā,no,yes,no,,,no
tejaHpattra,tejaḥpattra,no,yes,no,,,no
tejanI,tejanī,no,no,yes,2,rare(2-9),no
tejanaka,tejanaka,yes,yes,yes,1,hapax(1),yes
tejasvinI,tejasvinī,yes,no,yes,2,rare(2-9),no
tejavalkala,tejavalkala,no,yes,no,,,no
tejohvA,tejohvā,no,no,yes,2,rare(2-9),no
tejomanTa,tejomantha,yes,yes,yes,1,hapax(1),yes
tejovatI,tejovatī,yes,no,yes,3,uncommon(10-99),no
tfRAri,tṛṇāri,no,yes,no,,,no
tfROzaDa,tṛṇauṣadha,yes,yes,no,,,no
tfRaSItA,tṛṇaśītā,yes,yes,yes,1,hapax(1),yes
tfRaSORqikA,tṛṇaśauṇḍikā,no,yes,no,,,no
tfRaSUnya,tṛṇaśūnya,yes,no,yes,2,rare(2-9),no
tfRabIja,tṛṇabīja,yes,yes,no,,,no
tfRabIjaka,tṛṇabījaka,yes,yes,no,,,no
tfRabIjottama,tṛṇabījottama,yes,yes,yes,1,hapax(1),yes
tfRabalvajA,tṛṇabalvajā,yes,yes,yes,1,hapax(1),yes
tfRaganDA,tṛṇagandhā,no,yes,no,,,no
tfRanimbA,tṛṇanimbā,yes,yes,no,,,no
tfRapaYcamUla,tṛṇapañcamūla,no,yes,yes,2,rare(2-9),no
tfRasArA,tṛṇasārā,yes,yes,no,,,no
tfRavfkza,tṛṇavṛkṣa,no,no,yes,1,hapax(1),no
tfRottama,tṛṇottama,yes,yes,yes,1,hapax(1),yes
tfzA,tṛṣā,yes,no,yes,4,common(100-999),no
tiRwI,tiṇṭī,yes,yes,no,,,no
tiktA,tiktā,no,yes,yes,3,uncommon(10-99),no
tiktAmftA,tiktāmṛtā,no,yes,no,,,no
tikta,tikta,yes,no,yes,5,very-common(1000+),no
tiktaBadraka,tiktabhadraka,yes,yes,no,,,no
tiktaSAka,tiktaśāka,yes,no,yes,2,rare(2-9),no
tiktadugDA,tiktadugdhā,yes,no,yes,2,rare(2-9),no
tiktaguYjA,tiktaguñjā,yes,yes,no,,,no
tiktakA,tiktakā,no,no,yes,2,rare(2-9),no
tiktaka,tiktaka,yes,no,yes,3,uncommon(10-99),no
tiktakandakA,tiktakandakā,yes,yes,yes,2,rare(2-9),yes
tiktakandikA,tiktakandikā,yes,yes,no,,,no
tiktamarica,tiktamarica,yes,yes,no,,,no
tiktaparvan,tiktaparvan,yes,no,no,,,no
tiktapattra,tiktapattra,yes,yes,no,,,no
tiktapuzpA,tiktapuṣpā,yes,yes,yes,1,hapax(1),yes
tiktarohiRI,tiktarohiṇī,no,yes,yes,2,rare(2-9),no
tiktasAra,tiktasāra,yes,no,yes,1,hapax(1),no
tiktavallI,tiktavallī,yes,yes,no,,,no
tiktayavA,tiktayavā,yes,yes,yes,1,hapax(1),yes
tilAMSa,tilāṃśa,no,yes,no,,,no
tilAmbu,tilāmbu,no,yes,no,,,no
tilAnna,tilānna,yes,yes,no,,,no
tilApatyA,tilāpatyā,yes,yes,no,,,no
tilOdana,tilaudana,no,yes,no,,,no
tila,tila,no,no,yes,4,common(100-999),no
tilaDenu,tiladhenu,no,yes,yes,3,uncommon(10-99),no
tilaMtuda,tilaṃtuda,no,yes,no,,,no
tilaSas,tilaśas,no,yes,yes,3,uncommon(10-99),no
tilacUrRa,tilacūrṇa,no,yes,yes,1,hapax(1),no
tiladroRamaya,tiladroṇamaya,no,yes,no,,,no
tilahoma,tilahoma,no,yes,no,,,no
tilahomin,tilahomin,no,yes,no,,,no
tilakArzika,tilakārṣika,no,yes,no,,,no
tilaka,tilaka,no,no,yes,4,common(100-999),no
tilakaRa,tilakaṇa,no,yes,no,,,no
tilakalka,tilakalka,no,yes,no,,,no
tilakalkaja,tilakalkaja,no,no,yes,1,hapax(1),no
tilakawa,tilakaṭa,no,yes,no,,,no
tilamAza,tilamāṣa,no,yes,no,,,no
tilamaya,tilamaya,no,yes,no,,,no
tilamiSra,tilamiśra,no,yes,no,,,no
tilaparRI,tilaparṇī,yes,no,yes,3,uncommon(10-99),no
tilaparRa,tilaparṇa,yes,no,yes,2,rare(2-9),no
tilaparRikA,tilaparṇikā,no,no,yes,2,rare(2-9),no
tilaparRika,tilaparṇika,no,no,yes,1,hapax(1),no
tilapeja,tilapeja,no,yes,yes,1,hapax(1),no
tilapiYja,tilapiñja,no,no,yes,1,hapax(1),no
tilapuzpa,tilapuṣpa,no,yes,yes,1,hapax(1),no
tilapuzpaka,tilapuṣpaka,no,yes,yes,1,hapax(1),no
tilasfzwa,tilasṛṣṭa,no,yes,no,,,no
tilasnAyin,tilasnāyin,no,yes,no,,,no
tilatEla,tilataila,no,yes,no,,,no
tilataRqulaka,tilataṇḍulaka,yes,yes,yes,2,rare(2-9),yes
tilavatsa,tilavatsa,no,yes,no,,,no
tilavratin,tilavratin,no,no,no,,,no
tilodara,tilodara,no,yes,no,,,no
tilvaka,tilvaka,no,yes,yes,3,uncommon(10-99),no
tilya,tilya,no,no,yes,2,rare(2-9),no
timiza,timiṣa,no,no,yes,1,hapax(1),no
tindu,tindu,no,yes,yes,2,rare(2-9),no
tinduka,tinduka,no,no,yes,3,uncommon(10-99),no
tinduki,tinduki,yes,yes,yes,1,hapax(1),yes
tiniSa,tiniśa,no,no,yes,3,uncommon(10-99),no
tinikA,tinikā,no,yes,no,,,no
tintiqIPala,tintiḍīphala,yes,yes,yes,2,rare(2-9),yes
tirIwa,tirīṭa,no,no,yes,2,rare(2-9),no
tirIwaka,tirīṭaka,no,no,yes,1,hapax(1),no
tirya,tirya,no,no,yes,1,hapax(1),no
tiryakPalA,tiryakphalā,yes,yes,yes,1,hapax(1),yes
tisrA,tisrā,no,yes,no,,,no
titila,titila,yes,no,no,,,no
tittirIPala,tittirīphala,yes,yes,yes,2,rare(2-9),yes
tizyA,tiṣyā,yes,yes,no,,,no
tizya,tiṣya,yes,no,yes,3,uncommon(10-99),no
toyaDara,toyadhara,yes,no,yes,2,rare(2-9),no
toyaPalA,toyaphalā,yes,yes,yes,2,rare(2-9),yes
toyada,toyada,yes,no,yes,3,uncommon(10-99),no
toyakAma,toyakāma,yes,yes,no,,,no
toyapippalI,toyapippalī,yes,yes,yes,2,rare(2-9),yes
toyaprasAdana,toyaprasādana,yes,yes,no,,,no
toyapuzpI,toyapuṣpī,yes,yes,no,,,no
toyavallI,toyavallī,yes,yes,yes,2,rare(2-9),yes
toyavatI,toyavatī,no,yes,no,,,no
toyavfkza,toyavṛkṣa,no,yes,no,,,no
toyavftti,toyavṛtti,no,yes,no,,,no
trAyamARA,trāyamāṇā,no,yes,yes,3,uncommon(10-99),no
trEvfta,traivṛta,no,yes,yes,3,uncommon(10-99),no
trapusI,trapusī,no,yes,yes,3,uncommon(10-99),no
trayI,trayī,yes,no,yes,4,common(100-999),no
triDArA,tridhārā,no,yes,yes,1,hapax(1),no
triDAraka,tridhāraka,yes,no,yes,1,hapax(1),no
triMSatpattra,triṃśatpattra,yes,yes,no,,,no
triPalA,triphalā,no,no,yes,4,common(100-999),no
triSAKapattra,triśākhapattra,yes,yes,no,,,no
triSirA,triśirā,yes,yes,yes,2,rare(2-9),yes
tribIja,tribīja,yes,yes,yes,2,rare(2-9),yes
tridalA,tridalā,yes,yes,yes,1,hapax(1),yes
tridalikA,tridalikā,yes,yes,no,,,no
trijawA,trijaṭā,no,no,yes,3,uncommon(10-99),no
trika,trika,no,no,yes,4,common(100-999),no
trikaRwa,trikaṇṭa,yes,no,yes,2,rare(2-9),no
trikawa,trikaṭa,yes,yes,yes,1,hapax(1),yes
trikoRA,trikoṇā,no,yes,no,,,no
trimada,trimada,no,no,yes,1,hapax(1),no
tripAdI,tripādī,no,yes,yes,2,rare(2-9),no
tripAdikA,tripādikā,yes,no,yes,2,rare(2-9),no
tripadA,tripadā,yes,no,yes,3,uncommon(10-99),no
tripadI,tripadī,yes,no,yes,2,rare(2-9),no
tripakzaka,tripakṣaka,yes,yes,no,,,no
triparRI,triparṇī,yes,no,yes,3,uncommon(10-99),no
triparRikA,triparṇikā,yes,no,yes,2,rare(2-9),no
tripattra,tripattra,no,no,yes,2,rare(2-9),no
tripuwin,tripuṭin,yes,yes,no,,,no
tripuzA,tripuṣā,yes,yes,no,,,no
trisaMDyakusumA,trisaṃdhyakusumā,yes,yes,no,,,no
trisama,trisama,yes,no,yes,1,hapax(1),no
trivftA,trivṛtā,no,yes,yes,3,uncommon(10-99),no
trivftparRI,trivṛtparṇī,yes,yes,no,,,no
triyazwi,triyaṣṭi,yes,yes,no,,,no
truwibIja,truṭibīja,yes,yes,no,,,no
tryaSraPalA,tryaśraphalā,yes,yes,no,,,no
tuNgA,tuṅgā,yes,no,yes,2,rare(2-9),no
tuNgI,tuṅgī,yes,no,yes,2,rare(2-9),no
tuNga,tuṅga,no,no,yes,4,common(100-999),no
tuNgaka,tuṅgaka,yes,no,yes,2,rare(2-9),no
tuRi,tuṇi,yes,yes,no,,,no
tuRqa,tuṇḍa,yes,no,yes,3,uncommon(10-99),no
tuRqikeSI,tuṇḍikeśī,yes,yes,no,,,no
tubarI,tubarī,yes,no,yes,1,hapax(1),no
tubarISimba,tubarīśimba,yes,yes,no,,,no
tubarikA,tubarikā,yes,no,yes,2,rare(2-9),no
tucCadru,tucchadru,yes,yes,no,,,no
tumbI,tumbī,yes,no,yes,3,uncommon(10-99),no
tumba,tumba,no,yes,yes,3,uncommon(10-99),no
