species_canonical,gbif_matched_name,rank,status,accepted_name,family,match_type,confidence
Flacourtia cataphracta roxb,Flacourtia cataphracta,SPECIES,ACCEPTED,,Salicaceae,HIGHERRANK,99
Flacourtia sapida,Salicaceae,FAMILY,ACCEPTED,,Salicaceae,HIGHERRANK,99
Fumaria parviflora,Fumaria parviflora,SPECIES,ACCEPTED,,Papaveraceae,EXACT,99
Gaertnera racemosa,Gaertnera racemosa,SPECIES,SYNONYM,Hiptage benghalensis,Malpighiaceae,EXACT,100
Galedupa arborea,Galedupa arborea,SPECIES,SYNONYM,Pongamia pinnata,Fabaceae,EXACT,100
Galedupa piscidia,Galedupa piscidia,SPECIES,SYNONYM,Millettia piscidia,Fabaceae,EXACT,100
Galega purpurea,Galega purpurea,SPECIES,SYNONYM,Tephrosia purpurea,Fabaceae,EXACT,100
Ganitrus sphaeica,Ganitrus sphaericus,SPECIES,SYNONYM,Elaeocarpus sphaericus,Elaeocarpaceae,FUZZY,96
Garcinia,Garcinia,GENUS,ACCEPTED,,Clusiaceae,EXACT,96
Garcinia cambogia,Garcinia,GENUS,ACCEPTED,,Clusiaceae,HIGHERRANK,99
Gardenia,Gardenia,GENUS,ACCEPTED,,Rubiaceae,EXACT,95
Gardenia enneandra,Gardenia enneandra,SPECIES,SYNONYM,Gardenia latifolia,Rubiaceae,EXACT,99
Gardenia florida,Gardenia,GENUS,ACCEPTED,,Rubiaceae,HIGHERRANK,99
Gardenia gummifera,Gardenia gummifera,SPECIES,ACCEPTED,,Rubiaceae,EXACT,100
Gardenia latifolia,Gardenia latifolia,SPECIES,ACCEPTED,,Rubiaceae,EXACT,99
Gendarussa vulgaris,Gendarussa vulgaris,SPECIES,SYNONYM,Justicia gendarussa,Acanthaceae,EXACT,100
Gentiana cherayta,Gentiana cherayta,SPECIES,ACCEPTED,,Gentianaceae,EXACT,100
Gentiana chirata,Gentiana chirata,SPECIES,SYNONYM,Swertia chirayita,Gentianaceae,EXACT,100
Gentiana chirayita,Gentiana chirayita,SPECIES,SYNONYM,Swertia chirayita,Gentianaceae,EXACT,99
Getonia floribunda,Getonia floribunda,SPECIES,ACCEPTED,,Combretaceae,EXACT,100
Glabra,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Glomerata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Gloriosa,Gloriosa,GENUS,ACCEPTED,,Colchicaceae,EXACT,96
Gloriosa superba,Gloriosa superba,SPECIES,ACCEPTED,,Colchicaceae,EXACT,100
Glycine,Glycine,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Glycine debilis,Glycine debilis,SPECIES,SYNONYM,Teramnus labialis,Fabaceae,EXACT,100
Glycine debilis roxb,Glycine debilis,SPECIES,SYNONYM,Teramnus labialis,Fabaceae,HIGHERRANK,100
Glycine labialis,Glycine labialis,SPECIES,SYNONYM,Teramnus labialis,Fabaceae,EXACT,100
Glycyrrhiza,Glycyrrhiza,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Glycyrrhiza glabra,Glycyrrhiza glabra,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Gmelina,Gmelina,GENUS,ACCEPTED,,Lamiaceae,EXACT,96
Gmelina arborea,Gmelina arborea,SPECIES,ACCEPTED,,Lamiaceae,EXACT,99
Goensis,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Gomphrena globosa,Gomphrena globosa,SPECIES,ACCEPTED,,Amaranthaceae,EXACT,100
Gossampinus rumphii,Gossampinus rumphii,SPECIES,SYNONYM,Ceiba pentandra,Malvaceae,EXACT,100
Gossypium,Gossypium,GENUS,ACCEPTED,,Malvaceae,EXACT,96
Gossypium herbaceum,Gossypium herbaceum,SPECIES,ACCEPTED,,Malvaceae,EXACT,100
Gracula religiosa,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Grandiflorum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Grewia asiatica,Grewia asiatica,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Grewia elastica,Grewia elastica,SPECIES,SYNONYM,Grewia eriocarpa,Malvaceae,EXACT,100
Grewia orientalis,Grewia orientalis,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Grislea tomentosa,Grislea tomentosa,SPECIES,SYNONYM,Woodfordia fruticosa,Lythraceae,EXACT,100
Guilandina,Guilandina,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Guilandina bonduc,Guilandina bonduc,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Guilandina bonducella,Guilandina bonducella,SPECIES,SYNONYM,Guilandina bonduc,Fabaceae,EXACT,100
Guilandina moringa,Guilandina moringa,SPECIES,SYNONYM,Moringa oleifera,Moringaceae,EXACT,100
Gymnema sylvestre,Gymnema sylvestre,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Gynandropsis anacardium,Gynandropsis,GENUS,ACCEPTED,,Cleomaceae,HIGHERRANK,95
Gynandropsis pentaphylla,Gynandropsis pentaphylla,SPECIES,SYNONYM,Gynandropsis gynandra,Cleomaceae,EXACT,99
Halicacabum cardiospermum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Hedyotis burmanniana,Hedyotis burmanniana,SPECIES,ACCEPTED,,Rubiaceae,EXACT,99
Hedysarum,Hedysarum,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,95
Hedysarum alhagi,Hedysarum alhagi,SPECIES,SYNONYM,Alhagi maurorum,Fabaceae,EXACT,99
Hedysarum gangeticum,Hedysarum gangeticum,SPECIES,SYNONYM,Pleurolobus gangeticus,Fabaceae,EXACT,100
Hedysarum lagopodioides,Fabaceae,FAMILY,ACCEPTED,,Fabaceae,HIGHERRANK,99
Helianthus,Helianthus,GENUS,ACCEPTED,,Asteraceae,HIGHERRANK,95
Helianthus annuus,Helianthus annuus,SPECIES,ACCEPTED,,Asteraceae,EXACT,100
Helianthus indica,Helianthus indicus,SPECIES,SYNONYM,Helianthus annuus,Asteraceae,FUZZY,97
Helianthus indicus,Helianthus indicus,SPECIES,SYNONYM,Helianthus annuus,Asteraceae,EXACT,100
Heliophytum indicum,Heliophytum indicum,SPECIES,SYNONYM,Heliotropium indicum,Heliotropiaceae,EXACT,100
Heliotropium,Heliotropium,GENUS,ACCEPTED,,Heliotropiaceae,EXACT,96
Heliotropium indicum,Heliotropium indicum,SPECIES,ACCEPTED,,Heliotropiaceae,EXACT,100
Helleborus,Tracheophyta,PHYLUM,ACCEPTED,,,HIGHERRANK,95
Helleborus niger,Helleborus niger,SPECIES,ACCEPTED,,Ranunculaceae,EXACT,100
Helminthostachys laciniata,Helminthostachys laciniata,SPECIES,SYNONYM,Helminthostachys zeylanica,Ophioglossaceae,EXACT,100
Hemidesmus indicus,Hemidesmus indicus,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Hemionitis cordifolia,Pteridaceae,FAMILY,ACCEPTED,,Pteridaceae,HIGHERRANK,99
Hibiscus,Hibiscus,GENUS,ACCEPTED,,Malvaceae,EXACT,95
Hibiscus abelmoschus,Hibiscus abelmoschus,SPECIES,SYNONYM,Abelmoschus moschatus,Malvaceae,EXACT,100
Hibiscus cannabinus,Hibiscus cannabinus,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Hibiscus hirtus,Hibiscus hirtus,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Hibiscus moschatus,Hibiscus moschatus,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Hibiscus mutabilis,Hibiscus mutabilis,SPECIES,ACCEPTED,,Malvaceae,EXACT,100
Hibiscus phoeniceus,Hibiscus phoeniceus,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Hibiscus populneoides,Hibiscus populneoides,SPECIES,SYNONYM,Thespesia populneoides,Malvaceae,EXACT,100
Hibiscus rosa sinensis,Hibiscus rossii,SPECIES,SYNONYM,Hibiscus cameronii,Malvaceae,HIGHERRANK,97
Hieracium,Hieracium,GENUS,ACCEPTED,,Asteraceae,HIGHERRANK,95
Hijjal,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Hingcha repens,Hingtsha repens,SPECIES,SYNONYM,Enydra fluctuans,Asteraceae,FUZZY,80
Hingtsha repens,Hingtsha repens,SPECIES,SYNONYM,Enydra fluctuans,Asteraceae,EXACT,100
Hirsutum,Hirsutum,GENUS,ACCEPTED,,Dictyopteridiaceae,EXACT,96
Hoija viridifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Holcus saccharatus,Holcus saccharatus,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Holcus sorghum,Holcus sorghum,SPECIES,SYNONYM,Sorghum bicolor,Poaceae,EXACT,99
Hoya viridiflora,Hoya viridiflora,SPECIES,SYNONYM,Stephanotis volubilis,Apocynaceae,EXACT,99
Hoya viridifolia,Hoya viridiflora,SPECIES,SYNONYM,Stephanotis volubilis,Apocynaceae,FUZZY,93
Hydrocotyle asiatica,Hydrocotyle asiatica,SPECIES,ACCEPTED,,Araliaceae,EXACT,99
Hyoscyamus niger,Hyoscyamus niger,SPECIES,ACCEPTED,,Solanaceae,EXACT,100
Hyperanthera,Hyperanthera,GENUS,SYNONYM,,Moringaceae,EXACT,96
Hyperanthera moringa,Hyperanthera moringa,SPECIES,SYNONYM,Moringa oleifera,Moringaceae,EXACT,100
Ichnocarpus,Ichnocarpus,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,95
Ichnocarpus frutescens,Ichnocarpus frutescens,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Impatiens balsamina,Impatiens balsamina,SPECIES,ACCEPTED,,Balsaminaceae,EXACT,100
Imperata cylindrica,Imperata cylindrica,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Indica,India,GENUS,SYNONYM,,Orchidaceae,FUZZY,84
Indigofera tinctoria,Indigofera tinctoria,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Infectoria,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Ingua,Inga,GENUS,ACCEPTED,,Fabaceae,FUZZY,83
Ipomoea,Ipomoea,GENUS,ACCEPTED,,Convolvulaceae,EXACT,95
Ipomoea atropurpurea,Ipomoea atropurpurea,SPECIES,SYNONYM,Argyreia atropurpurea,Convolvulaceae,EXACT,99
Ipomoea pes caprae roth,Ipomoea pes,SPECIES,ACCEPTED,,Convolvulaceae,HIGHERRANK,100
Ipomoea turpethum,Ipomoea turpethum,SPECIES,SYNONYM,Operculina turpethum,Convolvulaceae,EXACT,100
Iris pseudacorus,Iris pseudacorus,SPECIES,ACCEPTED,,Iridaceae,EXACT,100
Isora corylifolia,Isora corylifolia,SPECIES,SYNONYM,Helicteres isora,Malvaceae,EXACT,100
Ixora bandhucca,Ixora bandhuca,SPECIES,SYNONYM,Ixora coccinea,Rubiaceae,FUZZY,97
Ixora undulata,Ixora undulata,SPECIES,ACCEPTED,,Rubiaceae,EXACT,99
Jasminum arboreum,Oleaceae,FAMILY,ACCEPTED,,Oleaceae,HIGHERRANK,99
Jasminum auriculatum,Jasminum auriculatum,SPECIES,ACCEPTED,,Oleaceae,EXACT,100
Jasminum grandiflorum,Jasminum grandiflorum,SPECIES,ACCEPTED,,Oleaceae,EXACT,100
Jasminum jacquini,Jasminum,GENUS,ACCEPTED,,Oleaceae,HIGHERRANK,96
Jasminum multiflorum,Jasminum multiflorum,SPECIES,ACCEPTED,,Oleaceae,EXACT,99
Jasminum pubescens,Jasminum pubescens,SPECIES,ACCEPTED,,Oleaceae,EXACT,99
Jasminum sambac,Jasminum sambac,SPECIES,ACCEPTED,,Oleaceae,EXACT,99
Jasminum villosum,Jasminum villosum,SPECIES,SYNONYM,Jasminum arborescens,Oleaceae,EXACT,100
Jasminum zambac,Jasminum zambac,SPECIES,SYNONYM,Jasminum sambac,Oleaceae,EXACT,100
Jonesia asoca,Jonesia asoca,SPECIES,SYNONYM,Saraca asoca,Fabaceae,EXACT,100
Jonesia asoka,Jonesia asoca,SPECIES,SYNONYM,Saraca asoca,Fabaceae,FUZZY,96
Jonesia asoka roxb,Jonesia asoca,SPECIES,SYNONYM,Saraca asoca,Fabaceae,HIGHERRANK,96
Jonesia aśoka,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,94
Jonesis asoka,Jonesia asoca,SPECIES,SYNONYM,Saraca asoca,Fabaceae,FUZZY,85
Juglans regia,Juglans regia,SPECIES,ACCEPTED,,Juglandaceae,EXACT,100
Jujuba,Jujuba,GENUS,DOUBTFUL,,Rhamnaceae,EXACT,94
Jussiaea repens,Jussiaea repens,SPECIES,SYNONYM,Ludwigia adscendens,Onagraceae,EXACT,100
Justicia adhatoda,Justicia adhatoda,SPECIES,ACCEPTED,,Acanthaceae,EXACT,99
Justicia ganderussa,Justicia gandarussa,SPECIES,SYNONYM,Justicia gendarussa,Acanthaceae,FUZZY,95
Justicia gendarussa,Justicia gendarussa,SPECIES,ACCEPTED,,Acanthaceae,EXACT,99
Kadamba,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Kaempferia rotunda,Kaempferia rotunda,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,99
Karka,Karaka,GENUS,SYNONYM,,Malvaceae,FUZZY,84
Karsinh,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Kaskas,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Khadiri,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Khayar,Khaya,GENUS,ACCEPTED,,Meliaceae,FUZZY,85
Kutaja,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Kyllingia monocephala,Cyperaceae,FAMILY,ACCEPTED,,Cyperaceae,HIGHERRANK,85
Lablab vulgaris,Lablab vulgaris,SPECIES,SYNONYM,Lablab purpureus,Fabaceae,EXACT,100
Lagenaria vulgaris,Lagenaria vulgaris,SPECIES,SYNONYM,Lagenaria siceraria,Cucurbitaceae,EXACT,100
Lagenaria vulgaris ser,Lagenaria vulgaris,SPECIES,SYNONYM,Lagenaria siceraria,Cucurbitaceae,EXACT,89
Lagerstroemia regina,Lagerstroemia reginae,SPECIES,SYNONYM,Lagerstroemia speciosa,Lythraceae,FUZZY,97
Lagopodioides,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Langaliya,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Lathyrus sativus,Lathyrus sativus,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Latifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Laurus cassia,Lauraceae,FAMILY,ACCEPTED,,Lauraceae,HIGHERRANK,99
Lavail,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Lawsonia alba,Lawsonia alba,SPECIES,SYNONYM,Lawsonia inermis,Lythraceae,EXACT,100
Leea hirta,Leea hirta,SPECIES,SYNONYM,Leea aequata,Vitaceae,EXACT,99
Leea macrophylla,Leea macrophylla,SPECIES,ACCEPTED,,Vitaceae,EXACT,99
Leea staphylea,Leea,GENUS,ACCEPTED,,Vitaceae,HIGHERRANK,99
Lepeocercis serrata,Lepeocercis serrata,SPECIES,SYNONYM,Dichanthium caricosum,Poaceae,EXACT,100
Lepidium sativum,Lepidium sativum,SPECIES,ACCEPTED,,Brassicaceae,EXACT,99
Leucas linifolia,Leucas linifolia,SPECIES,SYNONYM,Leucas lavandulifolia,Lamiaceae,EXACT,100
Lida cordifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Ligusticum ajowan,Ligusticum ajowan,SPECIES,SYNONYM,Trachyspermum ammi,Apiaceae,EXACT,100
Limonia scandens,Limonia scandens,SPECIES,SYNONYM,Luvunga scandens,Rutaceae,EXACT,100
Linum usitatissimum,Linum usitatissimum,SPECIES,ACCEPTED,,Linaceae,EXACT,99
Lipeocercis serrata,Lepeocercis serrata,SPECIES,SYNONYM,Dichanthium caricosum,Poaceae,FUZZY,88
Liquidambar orientale,Liquidambar orientalis,SPECIES,ACCEPTED,,Altingiaceae,FUZZY,98
Lobatus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Lodh,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Longifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Lotus nelumbium,Lotus,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,96
Loxia philippensis,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Lucida,Lycida,GENUS,ACCEPTED,,Orchidaceae,FUZZY,85
Luffa,Luffa,GENUS,ACCEPTED,,Cucurbitaceae,EXACT,96
Luffa acutang,Luffa acutangula,SPECIES,ACCEPTED,,Cucurbitaceae,FUZZY,95
Luffa acutangula,Luffa acutangula,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,100
Luffa foetida,Cucurbitaceae,FAMILY,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Luffa pentandra,Luffa pentandra,SPECIES,SYNONYM,Luffa aegyptiaca,Cucurbitaceae,EXACT,100
Lupinus,Lupinus,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Lycopodium imbricatum,Lycopodium imbricatum,SPECIES,SYNONYM,Selaginella bryopteris,Selaginellaceae,EXACT,99
Lycopodium phlegmaria,Phlegmariurus,GENUS,ACCEPTED,,Lycopodiaceae,HIGHERRANK,99
Lythrun fructicosum,Lythrum fruticosum,SPECIES,SYNONYM,Woodfordia fruticosa,Lythraceae,FUZZY,85
Macrognathus pancalus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Magnifera indica,Mangifera indica,SPECIES,ACCEPTED,,Anacardiaceae,FUZZY,86
Mahwa,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,80
Mangifera indica,Mangifera indica,SPECIES,ACCEPTED,,Anacardiaceae,EXACT,99
Mangifera sylvatica,Mangifera sylvatica,SPECIES,ACCEPTED,,Anacardiaceae,EXACT,100
Mangosteen,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Maranta dichotoma,Marantaceae,FAMILY,ACCEPTED,,Marantaceae,HIGHERRANK,99
Marmelos,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Marsilea dentata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,95
Marsilea quadrifolia,Marsilea quadrifolia,SPECIES,ACCEPTED,,Marsileaceae,EXACT,99
Marsilia dentata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,94
Medicago esculenta,Medicago esculenta,SPECIES,SYNONYM,Trigonella esculenta,Fabaceae,EXACT,99
Melangena incurva,Melongena incurva,SPECIES,SYNONYM,Solanum melongena,Solanaceae,FUZZY,88
Melia azadirachta,Melia azadirachta,SPECIES,SYNONYM,Azadirachta indica,Meliaceae,EXACT,100
Melia azedarach,Melia azedarach,SPECIES,ACCEPTED,,Meliaceae,EXACT,99
Melia bukayun,Melia bukayun,SPECIES,SYNONYM,Melia azedarach,Meliaceae,EXACT,100
Melia sempervirens,Melia sempervirens,SPECIES,SYNONYM,Melia azedarach,Meliaceae,EXACT,99
Melilotus parviflora,Melilotus,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,96
Melongena,Melongena,GENUS,SYNONYM,,Solanaceae,EXACT,96
Menispermum cocculus,Menispermaceae,FAMILY,ACCEPTED,,Menispermaceae,HIGHERRANK,99
Menispermum cordifolium,Menispermum cordifolium,SPECIES,SYNONYM,Tinospora cordifolia,Menispermaceae,EXACT,100
Menispermum glabrum,Menispermaceae,FAMILY,ACCEPTED,,Menispermaceae,HIGHERRANK,99
Mesua,Mesua,GENUS,ACCEPTED,,Calophyllaceae,EXACT,96
Mesua ferrea,Mesua ferrea,SPECIES,ACCEPTED,,Calophyllaceae,EXACT,100
Mesua roxburghii,Mesua roxburghii,SPECIES,SYNONYM,Mesua ferrea,Calophyllaceae,EXACT,100
Methonica,Methonica,GENUS,SYNONYM,,Colchicaceae,EXACT,95
Methonica superba,Methonica superba,SPECIES,SYNONYM,Gloriosa superba,Colchicaceae,EXACT,100
Michelia campaka,Tracheophyta,PHYLUM,ACCEPTED,,,HIGHERRANK,95
Michelia champaca,Michelia champaca,SPECIES,SYNONYM,Magnolia champaca,Magnoliaceae,EXACT,100
Michelia champaka,Magnoliaceae,FAMILY,ACCEPTED,,Magnoliaceae,HIGHERRANK,95
Miliaceum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Mimosa,Mimosa,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Mimosa abstergens,Mimosa abstergens,SPECIES,SYNONYM,Senegalia rugata,Fabaceae,EXACT,99
Mimosa arabica,Mimosa arabica,SPECIES,SYNONYM,Vachellia nilotica,Fabaceae,EXACT,100
Mimosa catechu,Mimosa catechu,SPECIES,SYNONYM,Senegalia catechu,Fabaceae,EXACT,100
Mimosa concinna,Fabaceae,FAMILY,ACCEPTED,,Fabaceae,HIGHERRANK,99
Mimosa kauki,Mimosa,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,96
Mimosa natans,Mimosa natans,SPECIES,SYNONYM,Neptunia prostrata,Fabaceae,EXACT,99
Mimosa octandra,Mimosa octandra,SPECIES,SYNONYM,Mimosa rubicaulis,Fabaceae,EXACT,100
Mimosa pudica,Mimosa pudica,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Mimosa sirissa,Mimosa sirissa,SPECIES,SYNONYM,Albizia lebbeck,Fabaceae,EXACT,100
Mimosa suma,Mimosa suma,SPECIES,SYNONYM,Senegalia polyacantha,Fabaceae,EXACT,100
Mimusops,Mimusops,GENUS,ACCEPTED,,Sapotaceae,EXACT,96
Mimusops elengi,Mimusops elengi,SPECIES,ACCEPTED,,Sapotaceae,EXACT,99
Mimusops hexandra,Mimusops hexandra,SPECIES,ACCEPTED,,Sapotaceae,EXACT,99
Mimusops kauki,Mimusops kauki,SPECIES,ACCEPTED,,Sapotaceae,EXACT,99
Minusops elengi,Mimusops elengi,SPECIES,ACCEPTED,,Sapotaceae,FUZZY,86
Mirabilis jalapa,Mirabilis jalapa,SPECIES,ACCEPTED,,Nyctaginaceae,EXACT,100
Mollugo,Mollugo,GENUS,ACCEPTED,,Molluginaceae,EXACT,96
Mollugo pentaphylla,Mollugo pentaphylla,SPECIES,SYNONYM,Trigastrotheca pentaphylla,Molluginaceae,EXACT,100
Mollugo spergula,Mollugo spergula,SPECIES,SYNONYM,Glinus oppositifolius,Molluginaceae,EXACT,100
Momordica,Momordica,GENUS,ACCEPTED,,Cucurbitaceae,EXACT,96
Momordica charantia,Momordica charantia,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,99
Momordica cochinchinensis spreng,Momordica cochinchinensis,SPECIES,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Momordica mixa,Momordica,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,96
Momordica mixta,Momordica mixta,SPECIES,SYNONYM,Momordica cochinchinensis,Cucurbitaceae,EXACT,100
Momordica monadelpha,Momordica monadelpha,SPECIES,SYNONYM,Coccinia grandis,Cucurbitaceae,EXACT,100
Morinda tinctoria,Morinda,GENUS,ACCEPTED,,Rubiaceae,HIGHERRANK,99
Moringa,Moringa,GENUS,ACCEPTED,,Moringaceae,EXACT,95
Moringa hyperanthera,Moringa,GENUS,ACCEPTED,,Moringaceae,HIGHERRANK,95
Moringa pterygosperma,Moringa pterygosperma,SPECIES,SYNONYM,Moringa oleifera,Moringaceae,EXACT,100
Moringa pterygospermum,Moringa pterygosperma,SPECIES,SYNONYM,Moringa oleifera,Moringaceae,FUZZY,97
Morus indica,Morus indica,SPECIES,ACCEPTED,,Moraceae,EXACT,99
Morus indicadir,Morus,GENUS,ACCEPTED,,Moraceae,HIGHERRANK,96
Mucuna,Mucuna,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Mucuna pruriens,Mucuna pruriens,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Mucuna pruritus,Mucuna prurita,SPECIES,SYNONYM,Mucuna pruriens,Fabaceae,FUZZY,96
Mucuna pruritus hook,Mucuna prurita,SPECIES,SYNONYM,Mucuna pruriens,Fabaceae,HIGHERRANK,96
Munja,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Muricatus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Musa,Musa,GENUS,ACCEPTED,,Musaceae,EXACT,96
Musa paradisiaca,Musa paradisiaca,SPECIES,ACCEPTED,,Musaceae,EXACT,100
Musa sapientum,Musa sapientum,SPECIES,SYNONYM,Musa paradisiaca,Musaceae,EXACT,100
Myosotis,Myosotis,GENUS,ACCEPTED,,Boraginaceae,EXACT,95
Myrica sapida,Myrica sapida,SPECIES,SYNONYM,Morella esculenta,Myricaceae,EXACT,100
Myristica malabarica,Myristica malabarica,SPECIES,ACCEPTED,,Myristicaceae,EXACT,100
Myrobalan,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Myrobalanus chebula,Myrobalanus chebula,SPECIES,SYNONYM,Terminalia chebula,Combretaceae,EXACT,100
Myrobolan,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Myxa,Myxa,GENUS,SYNONYM,,Cordiaceae,EXACT,95
Naga,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Nageia putranjiva,Nageia putranjiva,SPECIES,SYNONYM,Putranjiva roxburghii,Putranjivaceae,EXACT,99
Nageia putraṃjīva,Nageia,GENUS,ACCEPTED,,Podocarpaceae,HIGHERRANK,95
Naravelia zeylanica,Naravelia zeylanica,SPECIES,SYNONYM,Clematis zeylanica,Ranunculaceae,EXACT,100
Nardostachys jatamansi,Nardostachys jatamansi,SPECIES,ACCEPTED,,Caprifoliaceae,EXACT,99
Nardostachys jaṭā-māṃsī,Nardostachys,GENUS,ACCEPTED,,Caprifoliaceae,HIGHERRANK,96
Nardostachys jaṭāmāṃsi,Nardostachys,GENUS,ACCEPTED,,Caprifoliaceae,HIGHERRANK,96
Nardostachys jaṭāmāṃsī,Nardostachys,GENUS,ACCEPTED,,Caprifoliaceae,HIGHERRANK,96
Nauclea cadamba,Nauclea cadamba,SPECIES,SYNONYM,Neolamarckia cadamba,Rubiaceae,EXACT,100
Nauclea cordifolia,Nauclea cordifolia,SPECIES,SYNONYM,Adina cordifolia,Rubiaceae,EXACT,100
Nauclea kadamba,Nauclea,GENUS,ACCEPTED,,Rubiaceae,HIGHERRANK,95
Nauclea kadamba roxb,Nauclea,GENUS,ACCEPTED,,Rubiaceae,HIGHERRANK,95
Neemb,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Nelumbium,Nelumbium,GENUS,SYNONYM,,Nelumbonaceae,EXACT,96
Nelumbium speciosum,Nelumbium speciosum,SPECIES,SYNONYM,Nelumbo nucifera,Nelumbonaceae,EXACT,100
Nericum odorum rubro-simplex,Nerium,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,85
Nerinm odorum,Nerium,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,85
Nerium antidysentericum,Apocynaceae,FAMILY,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Nerium odorum,Nerium,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Nerium odorum rubro-simplex,Nerium,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Nigella indica,Nigella indica,SPECIES,SYNONYM,Nigella sativa,Ranunculaceae,EXACT,99
Nimb,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Nimba,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Nimba asadirachta,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Nux vomica,Nux,GENUS,SYNONYM,,Juglandaceae,HIGHERRANK,95
