k1_slp1,k1_iast,species_canonical,species_raw,L_number,page_col,sense_citation,lexicographer_only,dcs_band,dcs_band_label
balAtmikA,balātmikā,Tiaridium indicum,Tiaridium Indicum,143226,"723,1",L.,yes,,
balAhvA,balāhvā,Sida cordifolia,Sida Cordifolia,143248,"723,2",L.,yes,,
balin,balin,Phaseolus radiatus,Phaseolus Radiatus,143275,"723,2",L.,yes,4,common(100-999)
balinI,balinī,Sida cordifolia,Sida Cordifolia,143276,"723,2",L.,yes,,
balyA,balyā,Sida cordifolia,Sida Cordifolia,143292,"723,2",L.,yes,2,rare(2-9)
balyA,balyā,Rhombifolia,Rhombifolia,143292,"723,2",L.,yes,2,rare(2-9)
balyA,balyā,Physalis flexuosa,Physalis Flexuosa,143292,"723,2",L.,yes,2,rare(2-9)
balyA,balyā,Paederia foetida,Paederia Foetida,143292,"723,2",L.,yes,2,rare(2-9)
balakzataRqulA,balakṣataṇḍulā,Sida cordifolia,Sida Cordifolia,143297,"723,2",L.,yes,,
balAdyA,balādyā,Sida cordifolia,Sida Cordifolia,143319,"723,3",L.,yes,,
balAmowA,balāmoṭā,Artemisia vulgaris,Artemisia Vulgaris,143320,"723,3",L.,yes,2,rare(2-9)
balAmowA,balāmoṭā,Alpinia nutans,Alpinia Nutans,143320,"723,3",L.,yes,2,rare(2-9)
balAya,balāya,Crataeva roxburghii,Crataeva Roxburghii,143321,"723,3",L.,yes,,
balAlaka,balālaka,Flacourtia cataphracta,Flacourtia Cataphracta,143322,"723,3",L.,yes,,
balAhaka,balāhaka,Cyperus rotundus,Cyperus Rotundus,143333,"723,3","Naigh. i, 10; MBh.; Kāv.; Cat.; L.; L.; Suśr.; Col.; MBh.; Hariv.; Pur.; Kād.; ib.; MBh.; L.; Kathās.",no,3,uncommon(10-99)
balipodakI,balipodakī,Basella cordifolia,Basella Cordifolia,143367,"724,1",L.,yes,,
balipriya,balipriya,Symplocos racemosa,Symplocos Racemosa,143370,"724,1",L.,yes,,
balikA,balikā,Sida cordifolia,Sida Cordifolia,143407,"724,1",L.,yes,1,hapax(1)
balikA,balikā,Rhombifolia,Rhombifolia,143407,"724,1",L.,yes,1,hapax(1)
balbaja,balbaja,Eleusine indica,Eleusine Indica,143423,"724,1",TS.,no,2,rare(2-9)
balhika,balhika,Asa foetida,Asa Foetida,143453,"724,2",L.,yes,2,rare(2-9)
bastakarRa,bastakarṇa,Shorea robusta,Shorea Robusta,143461,"724,2",L.,yes,2,rare(2-9)
bastaganDA,bastagandhā,Ocimum villosum,Ocimum Villosum,143462,"724,2",L.,yes,2,rare(2-9)
bastaSfNgI,bastaśṛṅgī,Odina pinnata,Odina Pinnata,143469,"724,2",L.,yes,,
bastAntrI,bastāntrī,Argyreia speciosa,Argyreia Speciosa,143471,"724,2",L.,yes,2,rare(2-9)
bastAntrI,bastāntrī,Argentea,Argentea,143471,"724,2",L.,yes,2,rare(2-9)
bahalA,bahalā,Anethum sowa,Anethum Sowa,143487,"724,2",L.,yes,1,hapax(1)
bahalacakzus,bahalacakṣus,Odina pinisata,Odina Pinisata,143490,"724,2",L.,yes,,
bahalANga,bahalāṅga,Odina pinnata,Odina Pinnata,143494,"724,2",L.,yes,,
bahukaRwaka,bahukaṇṭaka,Asteracantha,Asteracantha,143503,"724,3",L.,yes,2,rare(2-9)
bahukaRwaka,bahukaṇṭaka,Alhagi maurorum,Alhagi Maurorum,143503,"724,3",L.,yes,2,rare(2-9)
bahukaRwaka,bahukaṇṭaka,Phoenix paludosa,Phoenix Paludosa,143503,"724,3",L.,yes,2,rare(2-9)
bahukaRwA,bahukaṇṭā,Solanum jacquini,Solanum Jacquini,143505,"724,3",L.,yes,1,hapax(1)
bahukanda,bahukanda,Amorphophallus campanulatus,Amorphophallus Campanulatus,143506,"724,3",L.,yes,1,hapax(1)
bahukandI,bahukandī,Cucumis utilissimus,Cucumis Utilissimus,143507,"724,3",L.,yes,,
bahukarRikA,bahukarṇikā,Salvinia cucullata,Salvinia Cucullata,143514,"724,3",L.,yes,2,rare(2-9)
bahukalka,bahukalka,Buchanania latifolia,Buchanania Latifolia,143515,"724,3",L.,yes,,
bahuganDa,bahugandha,Boswellia thurifera,Boswellia Thurifera,143536,"724,3",L.,yes,2,rare(2-9)
bahuganDA,bahugandhā,Michelia champaka,Michelia Champaka,143537,"724,3",L.,yes,2,rare(2-9)
bahuganDA,bahugandhā,Jasminum auriculatum,Jasminum Auriculatum,143538,"724,3",L.,yes,2,rare(2-9)
bahuganDA,bahugandhā,Nigella indica,Nigella Indica,143539,"724,3",L.,yes,2,rare(2-9)
bahuguqA,bahuguḍā,Solanum jacquini,Solanum Jacquini,143547,"724,3",L.,yes,,
bahugranTi,bahugranthi,Tamarix indica,Tamarix Indica,143556,"724,3",L.,yes,,
bahucCada,bahucchada,Alstonia scholaris,Alstonia Scholaris,143561,"724,3",L.,yes,,
bahucCinnA,bahucchinnā,Cocculus,Cocculus,143564,"724,3",L.,yes,2,rare(2-9)
bahutiktA,bahutiktā,Solanum indicum,Solanum Indicum,143589,"724,3",L.,yes,1,hapax(1)
bahutfRa,bahutṛṇa,Saccharum munjia,Saccharum Munjia,143591.2,"725,1",L.,yes,,
bahutvakka,bahutvakka,Betula bhojpatra,Betula Bhojpatra,143599,"725,1",L.,yes,,
bahutvac,bahutvac,Astonia scholaris,Astonia Scholaris,143601,"725,1",L.,yes,1,hapax(1)
bahudugDikA,bahudugdhikā,Tithymalus antiquorum,Tithymalus Antiquorum,143625,"725,1",L.,yes,,
bahupattrI,bahupattrī,Aloe perfoliata,Aloe Perfoliata,143660,"725,1",L.; L.,yes,2,rare(2-9)
bahupattrI,bahupattrī,Solanum,Solanum,143660,"725,1",L.; L.,yes,2,rare(2-9)
bahupattrikA,bahupattrikā,Flacourtia cataphracta,Flacourtia Cataphracta,143662,"725,1",L.,yes,2,rare(2-9)
bahupattrikA,bahupattrikā,Trigonella foenum graecum,Trigonella Foenum Graecum,143663,"725,1",Bhpr.,no,2,rare(2-9)
bahuparRa,bahuparṇa,Alstonia scholaris,Alstonia Scholaris,143674,"725,1",L.,yes,1,hapax(1)
bahuparRA,bahuparṇā,Trigonella foenum graecum,Trigonella Foenum Graecum,143675,"725,1",L.,yes,,
bahuparRikA,bahuparṇikā,Salvinia cucullata,Salvinia Cucullata,143676,"725,1",L.,yes,,
bahuputra,bahuputra,Alstonia scholaris,Alstonia Scholaris,143686,"725,1",,no,2,rare(2-9)
bahuputrI,bahuputrī,Asparagus racemosus,Asparagus Racemosus,143688,"725,1",Bhpr.,no,2,rare(2-9)
bahuputrI,bahuputrī,Flacourtia cataphracta,Flacourtia Cataphracta,143689,"725,2",L.,yes,2,rare(2-9)
bahupuzpa,bahupuṣpa,Erythrina indica,Erythrina Indica,143694,"725,2",L.; Bhpr.,no,1,hapax(1)
bahupuzpa,bahupuṣpa,Grislea tomentosa,Grislea Tomentosa,143694,"725,2",L.; Bhpr.,no,1,hapax(1)
bahupraja,bahupraja,Saccharum munjia,Saccharum Munjia,143703,"725,2",,no,2,rare(2-9)
bahuPala,bahuphala,Nauclea cadamba,Nauclea Cadamba,143721,"725,2",L.,yes,2,rare(2-9)
bahuPalA,bahuphalā,Solanum indicum,Solanum Indicum,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalA,bahuphalā,Solanum,Solanum,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalA,bahuphalā,Glycine debilis,Glycine Debilis,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalA,bahuphalā,Convolvulus turpethum,Convolvulus Turpethum,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalA,bahuphalā,Cucurbitaceous,cucurbitaceous,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalA,bahuphalā,Flacourtia cataphracta,Flacourtia Cataphracta,143722,"725,2",L.,yes,3,uncommon(10-99)
bahuPalI,bahuphalī,Emblica officinalis,Emblica Officinalis,143723,"725,2",L.,yes,,
bahuPalI,bahuphalī,Ficus oppositifolia,Ficus Oppositifolia,143723,"725,2",L.,yes,,
bahubIja,bahubīja,Anona reticulata,Anona Reticulata,143732,"725,2",L.,yes,,
bahubIja,bahubīja,Squamosa,Squamosa,143732,"725,2",L.,yes,,
bahubIjA,bahubījā,Trigonella foenum graecum,Trigonella Foenum Graecum,143733,"725,2",Bhpr.,no,2,rare(2-9)
bahubIjA,bahubījā,Musa,Musa,143734,"725,2",L.,yes,2,rare(2-9)
bahumAzatila,bahumāṣatila,Sesamum,sesamum,143773,"725,2",TS.; ĀpŚr.,no,,
bahumUla,bahumūla,Hyperanthera moringa,Hyperanthera Moringa,143786,"725,3",L.,yes,2,rare(2-9)
bahumUlA,bahumūlā,Asparagus racemosus,Asparagus Racemosus,143787,"725,3",L.,yes,2,rare(2-9)
bahumUlI,bahumūlī,Emblica officinalis,Emblica Officinalis,143788,"725,3",L.,yes,,
bahumUlaka,bahumūlaka,Andropogon muricatus,Andropogon Muricatus,143792,"725,3",Bhpr.,no,2,rare(2-9)
bahurasA,bahurasā,Cardiospermum halicacabum,Cardiospermum Halicacabum,143809,"725,3",L.,yes,2,rare(2-9)
bahuruhA,bahuruhā,Cocculus,Cocculus,143816,"725,3",L.,yes,1,hapax(1)
bahurUpa,bahurūpa,Shorea robusta,Shorea Robusta,143824,"725,3",,no,3,uncommon(10-99)
bahuvalka,bahuvalka,Buchanania latifolia,Buchanania Latifolia,143853,"725,3",L.,yes,2,rare(2-9)
bahuvallI,bahuvallī,Hoya viridiflora,Hoya Viridiflora,143855,"725,3",L.,yes,,
bahuvAra,bahuvāra,Cordia myxa,Cordia Myxa,143857,"725,3",Bhpr.,no,2,rare(2-9)
bahuvArakaPala,bahuvārakaphala,Cordia myxa,Cordia Myxa,143858.1,"725,3",Kull.,no,,
bahuvistIrRA,bahuvistīrṇā,Abrus precatorius,Abrus precatorius,143875,"725,3",L.,yes,,
bahuvIrya,bahuvīrya,Terminalia bellerica,Terminalia Bellerica,143878,"725,3",L.,yes,2,rare(2-9)
bahuvIrya,bahuvīrya,Bombax heptaphyllum,Bombax Heptaphyllum,143878,"725,3",L.,yes,2,rare(2-9)
bahuvIryA,bahuvīryā,Flacourtia cataphracta,Flacourtia Cataphracta,143879,"725,3",L.,yes,1,hapax(1)
bahuSAKa,bahuśākha,Euphorbia antiquorum,Euphorbia Antiquorum,143897,"726,1",L.,yes,1,hapax(1)
bahuSAla,bahuśāla,Euphorbia antiquorum,Euphorbia Antiquorum,143898.1,"726,1",,no,,
bahuSiKA,bahuśikhā,Commelina salicifolia,Commelina Salicifolia,143901,"726,1",L.,yes,1,hapax(1)
bahusaMtati,bahusaṃtati,Bambusa spinosa,Bambusa Spinosa,143918,"726,1",L.,yes,,
bahusAra,bahusāra,Acacia catechu,Acacia Catechu,143931,"726,1",L.,yes,2,rare(2-9)
bahusutA,bahusutā,Asparagus racemosus,Asparagus Racemosus,143939,"726,1",L.,yes,1,hapax(1)
bahuka,bahuka,Calotropis gigantea,Calotropis Gigantea,143964,"726,1",L.,yes,2,rare(2-9)
bahulacCada,bahulacchada,Hyperanthera,Hyperanthera,144005,"726,2",L.,yes,1,hapax(1)
bahutalavaSA,bahutalavaśā,Iris pseudacorus,Iris Pseudacorus,144221,"727,2",L.,yes,,
bahewaka,baheṭaka,Terminalia belrica,Terminalia Belrica,144223,"727,2",L.,yes,,
bARa,bāṇa,Saccharum sara,Saccharum Sara,144242.25,"727,2",Bhpr.,no,5,very-common(1000+)
bARa,bāṇa,Barleria,Barleria,144242.65,"727,2",Śiś.; L.,no,5,very-common(1000+)
bARa,bāṇa,Barleria,Barleria,144242.75,"727,2",Kir.; Śiś.,no,5,very-common(1000+)
bAdara,bādara,Abrus precatorius,Abrus Precatorius,144305,"727,3",L.,yes,3,uncommon(10-99)
bArhata,bārhata,Solanum,Solanum,144446,"728,3",,no,3,uncommon(10-99)
bAlA,bālā,Aloe indica,Aloe Indica,144491,"728,3",L.,yes,4,common(100-999)
bAla,bāla,Andropogon muricatus,Andropogon Muricatus,144495,"728,3",L.,yes,5,very-common(1000+)
bAlakadalI,bālakadalī,Musa sapientum,Musa Sapientum,144497,"728,3",Mṛcch.,no,,
bAlakrIqanaka,bālakrīḍanaka,Cypraea moneta,Cypraea Moneta,144519,"728,3",L.,yes,1,hapax(1)
bAlatanaya,bālatanaya,Acacia catechu,Acacia Catechu,144551,"729,1",L.,yes,1,hapax(1)
bAladalaka,bāladalaka,Acacia catechu,Acacia Catechu,144559,"729,1",L.,yes,,
bAlapattra,bālapattra,Hedysarum alhagi,Hedysarum Alhagi,144565,"729,1",Kāv.; L.,no,2,rare(2-9)
bAlapattraka,bālapattraka,Acacia catechu,Acacia Catechu,144566,"729,1",L.,yes,2,rare(2-9)
bAlapuzpikA,bālapuṣpikā,Jasminum auriculatum,Jasminum Auriculatum,144572,"729,1",L.,yes,1,hapax(1)
bAlamUlikA,bālamūlikā,Hibiscus cannabinus,Hibiscus Cannabinus,144607,"729,1",Bhpr.,no,1,hapax(1)
bAlakapriyA,bālakapriyā,Musa sapientum,Musa Sapientum,144722,"729,2",L.,yes,2,rare(2-9)
bAleya,bāleya,Cyperus,Cyperus,144760,"729,3",Bhpr.,no,2,rare(2-9)
bAlbaja,bālbaja,Eleusine indica,Eleusine Indica,144769,"729,3",ŚBr.; MBh.,no,1,hapax(1)
bAlhika,bālhika,Asa foetida,Asa Foetida,144780,"729,3",MBh.; ib.; Hariv.; Pur.; Hariv.; BhP.; MBh.; R.; L.; L.,no,,
bAhuja,bāhuja,Sesamum,sesamum,144937,"730,2",L.,yes,2,rare(2-9)
bAhuSAla,bāhuśāla,Euphorbia antiquorum,Euphorbia Antiquorum,145035,"730,3",,no,,
bindupattra,bindupattra,Betula bhojpatra,Betula Bhojpatra,145168,"731,2",L.,yes,1,hapax(1)
bindupattraka,bindupattraka,Amaranthus,Amaranthus,145169,"731,2",L.,yes,,
binduraka,binduraka,Ximenia aegyptiaca,Ximenia Aegyptiaca,145202,"731,2",L.,yes,,
bimbA,bimbā,Momordica monadelpha,Momordica Monadelpha,145229,"731,3",L.,yes,,
bimbI,bimbī,Momordica monadelpha,Momordica Monadelpha,145232,"731,3",Suśr.,no,3,uncommon(10-99)
bimba,bimba,Momordica monadelpha,Momordica Monadelpha,145234,"731,3",MBh.; Kāv.,no,4,common(100-999)
bimbajA,bimbajā,Momordica monadelpha,Momordica Monadelpha,145235,"731,3",L.,yes,,
bimbaka,bimbaka,Momordica monadelpha,Momordica Monadelpha,145251,"731,3",L.,yes,2,rare(2-9)
bila,bila,Calamus rotang,Calamus Rotang,145266,"732,1",L.,yes,4,common(100-999)
billa,billa,Asa foetida,Asa Foetida,145296,"732,1",L.,yes,1,hapax(1)
bilva,bilva,Aegle marmelos,Aegle Marmelos,145299,"732,1",RTL. 336; AV.,no,4,common(100-999)
biSAyaka,biśāyaka,Euphorbia,Euphorbia,145350,"732,2",L.,yes,,
bisAkara,bisākara,Euphorbia,Euphorbia,145376,"732,2",L.,yes,,
bIjagarBa,bījagarbha,Trichosanthes dioeca,Trichosanthes Dioeca,145409,"732,2",L.,yes,1,hapax(1)
bIjapAdapa,bījapādapa,Semecarpus anacardium,Semecarpus Anacardium,145422,"732,2",L.,yes,1,hapax(1)
bIjapuzpikA,bījapuṣpikā,Andropogon saccharatus,Andropogon Saccharatus,145426,"732,3",L.,yes,,
bIjapUra,bījapūra,Citrus medica,Citrus Medica,145427,"732,3",Suśr.,no,3,uncommon(10-99)
bIjapUraka,bījapūraka,Citrus medica,Citrus Medica,145428,"732,3",MBh.; R.,no,3,uncommon(10-99)
bIjapUrI,bījapūrī,Citrus medica,Citrus Medica,145429,"732,3",Pañcad.,no,,
bIjapUrRa,bījapūrṇa,Citrus medica,Citrus Medica,145430,"732,3",Suśr.,no,2,rare(2-9)
bIjaPalaka,bījaphalaka,Citrus medica,Citrus Medica,145438,"732,3",L.,yes,1,hapax(1)
bIjarecana,bījarecana,Croton jamalgota,Croton Jamalgota,145452,"732,3",L.,yes,,
bIjavara,bījavara,Phaseolus radiatus,Phaseolus Radiatus,145457,"732,3",L.,yes,3,uncommon(10-99)
bIjavfkza,bījavṛkṣa,Terminalia tomentosa,Terminalia Tomentosa,145464,"732,3",L.,yes,2,rare(2-9)
bIjAQya,bījāḍhya,Citrus medica,Citrus Medica,145478.1,"732,3",Suśr.,no,,
bIjAmla,bījāmla,Spondias mangifera,Spondias Mangifera,145482,"732,3",L.,yes,2,rare(2-9)
bIjaka,bījaka,Citrus medica,Citrus Medica,145496,"732,3",R.; Hariv.,no,4,common(100-999)
bIjaka,bījaka,Terminalia tomentosa,Terminalia Tomentosa,145498,"732,3",L.,yes,4,common(100-999)
buka,buka,Agati grandiflora,Agati Grandiflora,145540,"733,1",Bhpr.,no,2,rare(2-9)
bukka,bukka,Ricinus,Ricinus,145545,"733,1",L.,yes,1,hapax(1)
buDA,budhā,Nardostachys jatamansi,Nardostachys Jatamansi,145748,"734,1",L.,yes,,
boDi,bodhi,Ficus religiosa,Ficus Religiosa,145873,"734,3","Hcat.; MWB. 35, 181",no,4,common(100-999)
boDitaru,bodhitaru,Ficus religiosa,Ficus Religiosa,145882,"734,3",L.,yes,,
bfhaccitta,bṛhaccitta,Citrus medica,Citrus Medica,146059,"735,3",L.,yes,,
bfhacCAla,bṛhacchāla,Vatica robusta,Vatica Robusta,146070,"735,3",MBh.,no,,
bfhattAla,bṛhattāla,Phoenix paludosa,Phoenix Paludosa,146149,"736,1",L.,yes,1,hapax(1)
bfhattiktA,bṛhattiktā,Clypea hernandifolia,Clypea Hernandifolia,146150,"736,1",L.,yes,2,rare(2-9)
bfhattvac,bṛhattvac,Alstonia scholaris,Alstonia Scholaris,146158,"736,1",L.,yes,2,rare(2-9)
bfhatpattra,bṛhatpattra,Symplocos racemosa,Symplocos Racemosa,146160,"736,1",Car.,no,2,rare(2-9)
bfhatpuzpI,bṛhatpuṣpī,Crotolaria,Crotolaria,146174,"736,1",L.,yes,2,rare(2-9)
bfhatPalA,bṛhatphalā,Beninkasa cerifera,Beninkasa Cerifera,146181,"736,1",L.,yes,2,rare(2-9)
bfhatikA,bṛhatikā,Solanum indicum,Solanum Indicum,146201,"736,2",L.,yes,2,rare(2-9)
bfhatI,bṛhatī,Solanum,Solanum,146205,"736,2",ŚāṅkhGṛ.; Suśr.,no,4,common(100-999)
bfhatIdvaya,bṛhatīdvaya,Solanum,Solanum,146215.1,"736,2",,no,,
bfhadamla,bṛhadamla,Averrhoa carambola,Averrhoa Carambola,146239,"736,2",L.,yes,,
bfhaddala,bṛhaddala,Phoenix paludosa,Phoenix Paludosa,146274,"736,2",L.,yes,2,rare(2-9)
bfhadbIja,bṛhadbīja,Spondias mangifera,Spondias Mangifera,146295.2,"736,3",L.,yes,,
bfhannaqa,bṛhannaḍa,Amphidonax karka,Amphidonax Karka,146360,"736,3",L.,yes,3,uncommon(10-99)
bEjika,baijika,Moringa pterygosperma,Moringa Pterygosperma,146466,"737,2",L.,yes,2,rare(2-9)
bokaqI,bokaḍī,Argyreia speciosa,Argyreia Speciosa,146517,"737,3",L.,yes,,
bokaqI,bokaḍī,Argentea,Argentea,146517,"737,3",L.,yes,,
brahmakanya,brahmakanya,Clerodendrum siphonantus,Clerodendrum Siphonantus,146577,"738,1",L.,yes,,
brahmakanyakA,brahmakanyakā,Ruta graveolens,Ruta Graveolens,146578.1,"738,1",L.,yes,1,hapax(1)
brahmakAzWa,brahmakāṣṭha,Thespesia populneoides,Thespesia Populneoides,146594,"738,1",L.,yes,1,hapax(1)
brahmagarBA,brahmagarbhā,Ocimum villosum,Ocimum Villosum,146619,"738,2",L.,yes,1,hapax(1)
brahmacAraRI,brahmacāraṇī,Clerodendrum siphonanthus,Clerodendrum Siphonanthus,146659,"738,2",L.,yes,,
brahmacAriRI,brahmacāriṇī,Clerodendrum siphonantus,Clerodendrum Siphonantus,146668,"738,2",L.,yes,2,rare(2-9)
brahmacAriRI,brahmacāriṇī,Thespesia populneoides,Thespesia Populneoides,146669,"738,2",L.,yes,2,rare(2-9)
brahmajawA,brahmajaṭā,Artemisia indica,Artemisia Indica,146681,"738,2",L.,yes,2,rare(2-9)
brahmatIrTa,brahmatīrtha,Costus speciosus,Costus Speciosus,146720,"738,3",L.,yes,3,uncommon(10-99)
brahmatIrTa,brahmatīrtha,Arabicus,Arabicus,146720,"738,3",L.,yes,3,uncommon(10-99)
brahmatvac,brahmatvac,Alstonia scholaris,Alstonia Scholaris,146732,"738,3",L.,yes,,
brahmadaRqa,brahmadaṇḍa,Clerodendrum siphonantus,Clerodendrum Siphonantus,146737,"738,3",L.,yes,3,uncommon(10-99)
brahmadarBA,brahmadarbhā,Ptychotis ajowan,Ptychotis Ajowan,146758,"738,3",Bhpr.,no,2,rare(2-9)
brahmadAru,brahmadāru,Morus indica,Morus Indica,146766,"738,3",L.,yes,2,rare(2-9)
brahmapattra,brahmapattra,Butea frondosa,Butea Frondosa,146804,"739,1",L.,yes,,
brahmaparRI,brahmaparṇī,Hemionitis cordifolia,Hemionitis Cordifolia,146812,"739,1",L.,yes,1,hapax(1)
brahmapAdapa,brahmapādapa,Butea frondosa,Butea Frondosa,146817,"739,1",L.,yes,2,rare(2-9)
brahmaBadrA,brahmabhadrā,Ficus heterophylla,Ficus Heterophylla,146887,"739,2",L.,yes,,
brahmamaRqUkI,brahmamaṇḍūkī,Clerodendrum siphonantus,Clerodendrum Siphonantus,146906,"739,2",L.,yes,,
brahmameKala,brahmamekhala,Saccharum munjia,Saccharum Munjia,146920,"739,2",L.,yes,,
brahmayazwi,brahmayaṣṭi,Clerodendrum siphonantus,Clerodendrum Siphonantus,146929,"739,2",L.,yes,,
brahmayazwi,brahmayaṣṭi,Ligusticum ajowan,Ligusticum Ajowan,146929,"739,2",L.,yes,,
brahmavfkza,brahmavṛkṣa,Butea frondosa,Butea Frondosa,147031,"740,1",L.,yes,3,uncommon(10-99)
brahmavfkza,brahmavṛkṣa,Ficus glomerata,Ficus Glomerata,147031,"740,1",L.,yes,3,uncommon(10-99)
brahmaSalya,brahmaśalya,Acacia arabica,Acacia Arabica,147056,"740,1",L.,yes,,
brahmasuvarcalA,brahmasuvarcalā,Helianthus,Helianthus,147109,"740,2",Suśr.; L.,no,3,uncommon(10-99)
brahmasuvarcalA,brahmasuvarcalā,Clerodendrum siphonantus,Clerodendrum Siphonantus,147109,"740,2",Suśr.; L.,no,3,uncommon(10-99)
brahmaGnI,brahmaghnī,Aloe perfoliata,Aloe Perfoliata,147138,"740,2",L.,yes,2,rare(2-9)
brahmopadeSanetf,brahmopadeśanetṛ,Butea frondosa,Butea Frondosa,147235,"741,1",ib.,no,,
brahmopanetf,brahmopanetṛ,Butea frondosa,Butea Frondosa,147238,"741,1",L.,yes,1,hapax(1)
brahmaRya,brahmaṇya,Saccharum munjia,Saccharum Munjia,147250,"741,1",L.,yes,4,common(100-999)
brahmI,brahmī,Macrognathus pancalus,Macrognathus Pancalus,147272,"741,1",L.,yes,2,rare(2-9)
brahmI,brahmī,Clerodendrum siphonantus,Clerodendrum Siphonantus,147274,"741,1",L.,yes,2,rare(2-9)
brAhmikA,brāhmikā,Clerodendrum siphonantus,Clerodendrum Siphonantus,147316,"741,2",L.,yes,,
brAhmaRayazwikA,brāhmaṇayaṣṭikā,Clerodendrum siphonantus,Clerodendrum Siphonantus,147377,"741,3",L.,yes,2,rare(2-9)
brAhmaRikA,brāhmaṇikā,Trigonella corniculata,Trigonella Corniculata,147426,"741,3",L.,yes,2,rare(2-9)
brAhmaRI,brāhmaṇī,Clerodendrum siphonantus,Clerodendrum Siphonantus,147444,"742,1",L.,yes,4,common(100-999)
brAhmaRI,brāhmaṇī,Trigonella corniculata,Trigonella Corniculata,147445,"742,1",L.,yes,4,common(100-999)
brAhmaRI,brāhmaṇī,Ruta graveolens,Ruta Graveolens,147446,"742,1",L.,yes,4,common(100-999)
brAhmI,brāhmī,Clerodendrum siphonantus,Clerodendrum Siphonantus,147470,"742,1",L.,yes,4,common(100-999)
brAhmI,brāhmī,Ruta graveolens,Ruta Graveolens,147470,"742,1",L.,yes,4,common(100-999)
brAhmI,brāhmī,Enhydra hingcha,Enhydra Hingcha,147470,"742,1",L.,yes,4,common(100-999)
BalatA,bhalatā,Paederia foetida,Paederia Foetida,147518,"742,2",L.,yes,,
BakzyabIja,bhakṣyabīja,Buchanania latifolia,Buchanania Latifolia,147570,"742,3",L.,yes,,
Bakzawaka,bhakṣaṭaka,Asteracantha longifolia,Asteracantha Longifolia,147578,"742,3",L.,yes,2,rare(2-9)
BakziRI,bhakṣiṇī,Coix barbata,Coix Barbata,147580,"742,3",L.,yes,,
BaNgA,bhaṅgā,Cannabis sativa,Cannabis Sativa,148006,"744,3",,no,3,uncommon(10-99)
BaNgA,bhaṅgā,Bhang,Bhang,148007,"744,3",ŚārṅgS.,no,3,uncommon(10-99)
BaNgA,bhaṅgā,Convolvulus turpethum,Convolvulus Turpethum,148008,"744,3",L.,yes,3,uncommon(10-99)
BaYjikA,bhañjikā,Rubia munjista,Rubia Munjista,148070,"745,1",L.,yes,2,rare(2-9)
BaYjipattrikA,bhañjipattrikā,Salvinia cucullata,Salvinia Cucullata,148085,"745,1",L.,yes,,
BawA,bhaṭā,Coloquintida,coloquintida,148093,"745,1",,no,,
BaRwAkI,bhaṇṭākī,Solanum melongena,Solanum Melongena,148196,"745,2",L.,yes,2,rare(2-9)
BaRwuka,bhaṇṭuka,Calosanthes indica,Calosanthes Indica,148197,"745,2",L.,yes,,
BaRqikA,bhaṇḍikā,Rubia munjista,Rubia Munjista,148210,"745,3",L.,yes,1,hapax(1)
BaRqira,bhaṇḍira,Acacia sirissa,Acacia Sirissa,148225,"745,3",L.,yes,,
BaRqirI,bhaṇḍirī,Rubia munjista,Rubia Munjista,148226,"745,3",L.,yes,,
BaRqila,bhaṇḍila,Acacia,Acacia,148230,"745,3",L.,yes,2,rare(2-9)
BaRqila,bhaṇḍila,Mimosa sirissa,Mimosa Sirissa,148230,"745,3",L.,yes,2,rare(2-9)
BaRqI,bhaṇḍī,Rubia munjista,Rubia Munjista,148233,"745,3",Car.,no,3,uncommon(10-99)
BaRqIra,bhaṇḍīra,Ficus indica,Ficus Indica,148237,"745,3",R. (B.),no,2,rare(2-9)
BaRqIra,bhaṇḍīra,Amaranthus polygonoides,Amaranthus Polygonoides,148238,"745,3",L.,yes,2,rare(2-9)
BaRqIra,bhaṇḍīra,Acacia sirissa,Acacia Sirissa,148238,"745,3",L.,yes,2,rare(2-9)
BaRqIrI,bhaṇḍīrī,Hydrocotyle asiatica,Hydrocotyle Asiatica,148241,"745,3",L.,yes,2,rare(2-9)
BaRqIla,bhaṇḍīla,Rubia munjista,Rubia Munjista,148243,"745,3",L.,yes,,
BaRquka,bhaṇḍuka,Calosanthes indica,Calosanthes Indica,148245,"745,3",L.,yes,,
Badra,bhadra,Nauclea cadamba,Nauclea Cadamba,148272,"745,3",L.,yes,5,very-common(1000+)
Badra,bhadra,Tithymalus antiquorum,Tithymalus Antiquorum,148272,"745,3",L.,yes,5,very-common(1000+)
Badra,bhadra,Cyperus,Cyperus,148311,"746,1",L.,yes,5,very-common(1000+)
BadrakaRwa,bhadrakaṇṭa,Asteracantha longifolia,Asteracantha Longifolia,148317,"746,1",L.,yes,,
BadrakASI,bhadrakāśī,Cyperus,Cyperus,148338,"746,1",L.,yes,,
BadrakAzWa,bhadrakāṣṭha,Pinus deodora,Pinus Deodora,148339,"746,1",L.,yes,2,rare(2-9)
BadraganDikA,bhadragandhikā,Cyperus rotundus,Cyperus Rotundus,148344,"746,1",L.,yes,,
