parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
134339,pratyutpannamati,134340.1,pratyutpannamatitva,n.,yes
134468,praTA,134469.1,praTApaha,mfn.,yes
134508,praTama,134516.1,,,CHILD_MISSING
134604,pradakziRam,134605.1,pradakziReRa,ind.,yes
134647,pradatta,134648.1,pradattanayanotsava,mfn.,yes
134715,pradeSavartin,134715.1,pradeSavartitvA,f.,yes
134850,pradyumnAnanda,134850.1,pradyumnAnandIya,n.,yes
135048,prapaYca,135057.1,prapaYcena,ind.,yes
135048,prapaYca,135058.1,prapaYcatas,ind.,yes
135141,prapada,135141.1,prapadEs,ind.,yes
135274,prabandDf,135274.1,prabandDftA,f.,yes
135366,praboDaka,245697.1,suKapraboDaka,,yes
135443,praBAmaRqala,135443.1,praBAmaRqalaka,n.,yes
135498.6,praBAsa,135498.61,praBAsakzetra,n.,yes
135498.6,praBAsa,135498.62,praBAsakzetratIrTa,n.,yes
135498.6,praBAsa,135498.73,praBAsadeSa,m.,yes
135513,praBinnakarawa,135513.1,praBinnakarawAmuKa,mfn.,yes
135550,praBAva,135555.1,praBAveRa,ind.,yes
135550,praBAva,135555.2,praBAvAt,ind.,yes
135550,praBAva,135556.1,praBAvatas,ind.,yes
135584,praBu,135584.1,praBvI,f.,yes
135771,pramAdin,135772.1,pramAditA,f.,yes
135821,pramARatara,135821.1,pramARataratva,n.,yes
135857,pramARasAra,135857.01,pramARasAraprakASikA,f.,yes
135868,pramARAntara,135868.1,pramARAntaratA,f.,yes
135882,pramAtf,135884.1,pramAtftA,f.,yes
135882,pramAtf,135884.2,pramAtftva,n.,yes
135922,pramedita,135923.1,prameditavat,mfn.,yes
135928,pramehaRa,135928.1,pramehana,n.,yes
135978,pramuKa,135979.1,pramuKe,ind.,yes
136177,prayatna,136182.1,prayatnatas,ind.,yes
136177,prayatna,136182.2,prayatnAt,ind.,yes
136227,prayARapurI,136227.1,prayARapurImAhAtmya,n.,yes
136381,prayogin,136384.1,prayogitva,n.,yes
136408,prayojanavat,136409.1,prayojanavattva,n.,yes
136412,prayojya,136415.1,prayojyatva,n.,yes
136523,pralApin,136525.1,pralApitva,n.,yes
136557,pralambabAhu,136558.1,pralambabAhutA,f.,yes
136602,pralaya,229289.1,saMjAtanidrApralaya,mfn.,yes
136630,pralInendriya,136630.1,pralInendriyatva,n.,yes
136679,pravaktf,136680.1,pravaktftva,n.,yes
136864,pravAha,136876.1,pravAhemUtrita,n.,yes
136876,pravAhI,136876.2,pravAhotTA,f.,yes
136879,pravAhikA,136879.1,pravAhikA,ind.,yes
136888,pravAhayitf,136888.1,pravAhayitftva,n.,yes
137080,pravizwaka,137080.01,pravizwakena,ind.,yes
137119,pravezwf,137119.1,pravezwftva,n.,yes
137241,pravartayitf,137243.1,pravartayitftva,n.,yes
137274.1,pravftta,137289.1,pravfttavat,mfn.,yes
137286,pravfttacakra,137286.1,pravfttacakratA,f.,yes
137291,pravfttasamprahAra,137291.1,pravfttasamprahAratva,n.,yes
137451,praSaMsAmuKara,137451.1,praSaMsAmuKarAnana,mfn.,yes
137487,praSaWa,137487.1,praSaWatA,f.,yes
137696,praSrayin,137696.1,praSrayitA,f.,yes
137697,praSrita,137699.1,praSritam,ind.,yes
137771,prasaNga,137781.1,prasaNgena,ind.,yes
137777,prasaNga,137781.2,prasaNgena,ind.,yes
137777,prasaNga,137781.3,prasaNgAt,ind.,yes
137777,prasaNga,137781.4,prasaNgatas,ind.,yes
137799,prasajyapratizeDa,137799.1,prasajyapratizeDatva,n.,yes
137837,prasAda,137836.1,prasAda,,yes
137842,prasAda,137851.1,prasAdAt,ind.,yes
137865,prasAdavat,137865.1,prasAdavatIsamADi,m.,yes
137906,prasaBa,137908.1,prasaBam,ind.,yes
137929,prasavya,137931.1,prasavyam,ind.,yes
137992,praseka,137993.1,prasekatA,f.,yes
138140,prasArin,138145.1,prasAritva,n.,yes
138178,prasfzwa,138181.1,prasfzwavEra,mfn.,yes
138352,prasTAnaviGna,138353.1,prasTAnaviGnakft,mfn.,yes
138379,prasTita,138384.2,prasTitavat,mfn.,yes
138384,prasTitayAjyA,138384.1,prasTitayAjyAhoma,m.,yes
138423,prasPurita,138424.1,prasPuritADara,mfn.,yes
138744,prahva,138749.1,prahvatva,n.,yes
138745,prahva,138750.1,prahvAYjali,mfn.,yes
138867,prADAnya,138869.1,prADAnyastuti,mfn.,yes
138892,prABfta,73503.1,cikitsAprABfta,m.,yes
138932,prAlamba,138932.1,prAlambaka,n.,yes
138932,prAlamba,138932.2,prAlambikA,f.,yes
138936,prAleya,138936.1,prAleya,,yes
138990,prAsaha,138991.1,prAsahAt,ind.,yes
139067,prAkftaprakASa,139067.1,prAkftaprakASaBAzya,n.,yes
139258,prAksaMsTa,139258.1,prAksaMsTatva,n.,yes
139271,prAgagra,139271.1,prAgagratA,f.,yes
139389,prANmuKa,139391.1,prANmuKakaraRa,n.,yes
139389,prANmuKa,139391.2,prANmuKatva,n.,yes
139597,prARaprada,139598.2,prARapradaPala,n.,yes
139626,prARayAtrika,139626.1,prARayAtrikamAtra,mfn.,yes
139682,prARAgnihotra,139682.1,prARAgnihotraviDi,m.,yes
139682,prARAgnihotra,139682.2,prARAgnihotropanizad,f.,yes
139698,prARAntika,139700.1,prARAntikam,ind.,yes
139873,prAtipadika,139876.01,prAtipadikAnuroDAt,ind.,yes
139874,prAtipadika,139875.1,prAtipadikatva,n.,yes
139884,prAtiBa,139885.1,prAtiBavat,ind.,yes
