; Group -1  count=0
<ls>Pāṇ.</ls>                  dUrAt 94907
<ls>Pāṇ.</ls>                  dftihAra 95235
<ls>Pāṇ.</ls>                  devatAdvaMdva 96348
<ls>Pāṇ.</ls>                  devala 96412
<ls>Pāṇ.</ls>                  dvitIya 98884
<ls>Pāṇ.</ls>                  dvitIya 98890
<ls>Pāṇ.</ls>                  dvirvacana 98952
<ls>Pāṇ.</ls>                  napuMsaka 102649.4
<ls>Pāṇ.</ls>                  nAmaDAtu 105756
<ls>Pāṇ.</ls>                  niHzU 107771
<ls>Pāṇ.</ls>                  nigama 108046
<ls>Pāṇ.</ls>                  nindana 108665
<ls>Pāṇ.</ls>                  nipat 108685
<ls>Pāṇ.</ls>                  nipAtana 108709
<ls>Pāṇ.</ls>                  nibirISa 108857
<ls>Pāṇ.</ls>                  nimittin 108992
<ls>Pāṇ.</ls>                  nirgrAhya 109526
<ls>Pāṇ.</ls>                  nirDAraRa 109676.1
<ls>Pāṇ.</ls>                  nivftti 110426
<ls>Pāṇ.</ls>                  nisyand 111116
<ls>Pāṇ.</ls>                  pakza 113075
<ls>Pāṇ.</ls>                  paYcama 114163
<ls>Pāṇ.</ls>                  padakAra 115236
<ls>Pāṇ.</ls>                  padAnta 115371
<ls>Pāṇ.</ls>                  payAya 115949
<ls>Pāṇ.</ls>                  para 116018
<ls>Pāṇ.</ls>                  paranipAta 116140
<ls>Pāṇ.</ls>                  pararUpa 116245
<ls>Pāṇ.</ls>                  parasavarRa 116296
<ls>Pāṇ.</ls>                  paraka 116452
<ls>Pāṇ.</ls>                  parasmEpadin 116672
<ls>Pāṇ.</ls>                  parasmEBAzA 116674
<ls>Pāṇ.</ls>                  parigraha 117274
<ls>Pāṇ.</ls>                  paricCedya 117461
<ls>Pāṇ.</ls>                  pariRiviS 117595
<ls>Pāṇ.</ls>                  pariBAzA 118127
<ls>Pāṇ.</ls>                  parimARin 118249
<ls>Pāṇ.</ls>                  parisamApti 118994
<ls>Pāṇ.</ls>                  paryAya 119293
<ls>Pāṇ.</ls>                  paryudAsa 119873
<ls>Pāṇ.</ls>                  paScimajana 120753
<ls>Pāṇ.</ls>                  pAkzika 121163
<ls>Pāṇ.</ls>                  pAdahAraka 122019
<ls>Pāṇ.</ls>                  pArijAtamaya 122706
<ls>Pāṇ.</ls>                  puMs 125015
<ls>Pāṇ.</ls>                  puMstva 125028
<ls>Pāṇ.</ls>                  puMvat 125050.1
<ls>Pāṇ.</ls>                  purogantf 126044
<ls>Pāṇ.</ls>                  puroqASa 126066
<ls>Pāṇ.</ls>                  puruza 126439
<ls>Pāṇ.</ls>                  pUraRapratyaya 127595
<ls>Pāṇ.</ls>                  pUrti 127792
<ls>Pāṇ.</ls>                  pUrtin 127798
<ls>Pāṇ.</ls>                  pUrva 127822
<ls>Pāṇ.</ls>                  pUrvatva 127920
<ls>Pāṇ.</ls>                  pUrvadevikA 127944
<ls>Pāṇ.</ls>                  pUrvadeSa 127946
<ls>Pāṇ.</ls>                  pUrvapada 127978
<ls>Pāṇ.</ls>                  pUrvaBUta 128051
<ls>Pāṇ.</ls>                  pUrvADirAma 128167
<ls>Pāṇ.</ls>                  pUrvArDya 128219
<ls>Pāṇ.</ls>                  pUrvottare 128242
<ls>Pāṇ.</ls>                  pfTakkaraRa 128383
<ls>Pāṇ.</ls>                  pfTagyogakaraRa 128444
<ls>Pāṇ.</ls>                  pfzwa 128807
<ls>Pāṇ.</ls>                  pENgin 129078
<ls>Pāṇ.</ls>                  pOrvArDaka 129647
<ls>Pāṇ.</ls>                  pOrvArDika 129648
<ls>Pāṇ.</ls>                  prakfti 130037
<ls>Pāṇ.</ls>                  prakftiguRa 130054
<ls>Pāṇ.</ls>                  prakvaRa 130265
<ls>Pāṇ.</ls>                  prakzip 130299
<ls>Pāṇ.</ls>                  pragfhya 130477
<ls>Pāṇ.</ls>                  pracyAvana 130817
<ls>Pāṇ.</ls>                  praRindana 131185
<ls>Pāṇ.</ls>                  pranindana 131186
<ls>Pāṇ.</ls>                  prati 131398.52
<ls>Pāṇ.</ls>                  pratigrAhya 132253
<ls>Pāṇ.</ls>                  pratizeDa 133221
<ls>Pāṇ.</ls>                  pratiskIrRa 133468
<ls>Pāṇ.</ls>                  pratI 133594
