k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
Badravadana,1,,,"m. ‘auspicious-faced’, N. of Bala-rāma, L."
BadravallikA,1,,,"f. Hemidesmus Indicus, L."
BagANkura,1,,,"m. the clitoris, L."
BagAlin,1,,,"m. ‘bedecked with skulls’, N. of Śiva, L."
BagaBakzaka,1,,,"m. ‘living by the vulva’, a procurer, pander, L."
BaganetrAntaka,1,,,"m. (L.) ‘destroyer of Bhagas eyes’, N. of Śiva."
Bagapura,1,,,"n. N. of the city of Multān, L."
Bagavaddruma,1,,,"m. ‘Bh˚'s (i.e. Buddha's) tree’, (prob.) the sacred fig-tree, L."
BaginIBrAtf,1,,,"m. du. sister and brother, L."
BagnAsTibanDa,1,,,"m. a splint, L."
BagnAtman,1,,,"m. ‘broken-bodied’, N. of the Moon (cut in two by the trident of Śiva), L."
Bagnanetra,1,,,"mfn. affecting the eyes (said of a kind of fever), L."
BagnapAdarkza,1,,,"(˚da-fk˚) n. N. of 6 Nakṣatras collectively (viz. Punar-vasū, Uttarāṣāḍhā, Kṛttikā, Uttara"
BagnapfzWa,1,,,"mfn. ‘broken-backed’, coming before or in front of (?), L."
BagnasaMDika,1,,,"n. buttermilk (= Gola), L."
BagnavizARaka,1,,,"mfn. having br˚ horns or tusks, L."
BajanavArika,1,,,"m. a partic. official in a Buddhist monastery, L."
